;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;19.1;False;True;26.38;21.86;;;;0
1;19.2;False;False;1.4;2.65;;;;0
2;17.2;False;True;28.37;26.84;;;;0
3;17.1;False;False;0.33;4.59;;;;0
4;7.1;False;True;0.44;0.06;;;;0
5;7.2;False;False;6.22;15.1;;;;0
6;23.1;False;False;10.44;28.16;;;;0
7;23.2;False;False;0.99;19.53;;;;0
8;15.1;False;False;0.81;9.78;;;;0
9;15.2;False;True;31.32;23.47;;;;0
10;3.1;False;True;34.77;22.13;;;;0
11;3.2;False;True;25.68;23.53;;;;0
12;1.2;False;True;23.41;14.77;;;;0
13;1.1;False;False;0.95;4.7;;;;0
14;20.1;False;True;30.6;29.08;;;;0
15;20.2;False;False;3.97;7.03;;;;0
16;12.2;False;False;8.44;20.88;;;;0
17;12.1;False;False;1.98;31.8;;;;0
18;26.2;False;False;28.89;31.43;;;;0
19;26.1;False;False;29.84;50.93;;;;0
20;11.2;False;False;0.26;43.22;;;;0
21;11.1;False;False;0.43;45.51;;;;0
22;13.2;False;False;29.74;36.8;;;;0
23;13.1;False;True;5.73;3.49;;;;0
24;14.2;False;True;32.59;21.98;;;20.45;1
25;14.1;False;False;16.09;22.98;;;;0
26;18.1;False;False;1.15;28.82;;;;0
27;18.2;False;True;2.87;1.79;;;;0
28;2.2;False;True;7.52;6.97;;;;0
29;2.1;False;False;36.4;41.65;;;;0
30;21.1;False;False;6.78;33.3;;;;0
31;21.2;False;True;13.25;9.94;;;;0
32;6.1;False;False;7.87;43.83;;;;0
33;6.2;False;False;6.88;39.3;;;;0
34;27.1;False;False;10.4;47.93;;;;0
35;27.2;False;False;14.57;21.54;;;;0
36;8.2;False;False;0.22;6.42;;;;0
37;8.1;False;False;8.34;14.51;;;;0
38;9.2;False;False;24.89;37.54;;;;0
39;9.1;False;True;32.55;29.59;;;;0
40;22.2;False;False;0.15;34.3;;;;0
41;22.1;False;True;19.62;10.71;;;;0
42;29.2;False;False;1.62;21.74;;;;0
43;29.1;False;False;0.0;4.1;;;;0
44;25.2;False;True;30.4;18.21;;;;0
45;25.1;False;False;23.58;24.27;;;;0
46;30.1;False;False;29.98;40.1;;;;0
47;30.2;False;True;20.86;19.11;;;;0
48;10.1;False;False;20.98;25.35;;;;0
49;10.2;False;True;24.69;21.18;;;;0
50;24.2;False;False;28.62;38.7;;;;0
51;24.1;False;False;16.55;22.44;;;;0
52;5.2;False;False;7.53;54.08;;;;0
53;5.1;False;True;30.25;27.84;;;;0
54;28.1;False;True;26.43;24.35;;;;0
55;28.2;False;False;38.24;56.66;;;;0
56;16.1;False;False;37.65;64.49;;;;0
57;16.2;False;False;25.89;28.59;;;;0
58;4.1;False;False;21.6;23.64;;;;0
59;4.2;False;True;24.91;17.72;;;;0
60;19.0;False;False;47.23;;;;;0
61;17.0;False;True;48.76;39.86;;;;0
62;7.0;False;True;47.54;32.6;;;;0
63;23.0;False;True;42.82;25.83;;;;0
64;15.0;False;True;35.4;12.51;;;;0
65;3.0;False;True;39.55;22.43;;;;0
66;1.0;False;True;42.24;27.38;;;;0
67;20.0;False;True;39.94;25.64;;;;0
68;12.0;False;True;47.07;40.64;;;;0
69;26.0;False;True;43.56;10.08;;;;0
70;11.0;False;True;42.52;25.06;;;;0
71;13.0;False;True;46.92;0.67;;;;0
72;14.0;False;True;48.39;37.67;;;;0
73;18.0;False;False;48.45;52.07;;;;0
74;2.0;False;True;37.78;26.61;;;;0
75;21.0;False;True;47.5;41.42;;;;0
76;6.0;False;True;42.23;28.4;;;;0
77;27.0;False;True;44.51;22.94;;;;0
78;8.0;False;True;46.44;41.44;;;;0
79;9.0;False;True;41.79;28.4;;;;0
80;22.0;False;True;43.07;34.73;;;;0
81;29.0;False;True;43.18;8.59;;;;0
82;25.0;False;True;40.86;30.88;;;;0
83;30.0;False;True;39.82;29.85;;;;0
84;10.0;False;True;35.7;23.24;;;;0
85;24.0;False;True;49.59;43.7;;;;0
86;5.0;False;False;39.11;41.3;;;;0
87;28.0;False;True;41.6;37.65;;;;0
88;16.0;False;True;40.72;17.68;;;;0
89;4.0;False;False;45.73;53.01;;;;0
