;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session
0;115;4.5;137.5304;203.3304;0.7826;3.0975;0.6593;438.8596;23383.0;19.1;0.3478;0.6435;0.3304;0.6609;0.2783;0.713;17;1
1;19;3.89;189.3684;617.1053;2.1579;3.2445;0.5238;1108.3636;11725.0;19.2;0.3158;0.6316;0.3684;0.5789;0.2632;0.6842;17;1
2;35;5.66;95.2286;154.5143;0.7143;3.1781;0.8077;346.3125;5408.0;17.2;0.2;0.7714;0.2;0.7714;0.1429;0.8286;17;1
3;2;9.5;233.5;1000.5;2.5;3.175;0.1667;1134.0;2001.0;17.1;0.5;0.0;0.0;0.5;0.5;0.0;17;1
4;2;5.5;304.5;484.0;1.5;3.28;0.25;484.0;968.0;7.1;0.0;0.5;0.5;0.0;0.0;0.5;17;1
5;47;4.43;147.1702;223.9149;1.0;3.1458;0.75;480.0323;10524.0;7.2;0.4043;0.5745;0.383;0.5957;0.3191;0.6596;17;1
6;41;5.83;143.2683;253.0;1.0732;3.2361;0.7111;680.2174;10373.0;23.1;0.3902;0.5854;0.3659;0.6098;0.3415;0.6341;17;1
7;12;7.08;144.5;453.6667;1.8333;3.2837;0.5217;709.625;5444.0;23.2;0.4167;0.5;0.4167;0.5;0.4167;0.5;17;1
8;15;4.67;153.2667;268.7333;1.2667;3.228;0.65;549.8;4031.0;15.1;0.4667;0.4667;0.4667;0.4667;0.4;0.5333;17;1
9;66;5.61;122.7727;185.0606;0.803;3.3941;0.6667;496.2812;12214.0;15.2;0.3182;0.6667;0.303;0.6818;0.2576;0.7273;17;1
10;108;4.56;118.4259;180.5278;0.7315;3.1681;0.7;461.7708;19497.0;3.1;0.3056;0.6852;0.287;0.7037;0.2593;0.7315;17;1
11;39;4.72;107.5897;199.0256;0.8462;3.2368;0.7059;471.6316;7762.0;3.2;0.3333;0.641;0.2564;0.7179;0.2821;0.6923;17;1
12;46;4.07;142.2174;236.1739;0.913;3.2286;0.6279;531.619;10864.0;1.2;0.2609;0.7174;0.2609;0.7174;0.2609;0.7174;17;1
13;12;4.17;98.0;98.0;0.5833;3.3143;0.75;168.0;1176.0;1.1;0.4167;0.5;0.4167;0.5;0.3333;0.5833;17;1
14;89;4.64;101.8876;135.9888;0.6067;3.2218;0.7636;317.625;12103.0;20.1;0.3483;0.6404;0.3596;0.6292;0.3034;0.6854;17;1
15;34;3.79;93.4412;126.7647;0.5882;3.2753;0.6667;329.6;4310.0;20.2;0.3529;0.6176;0.3529;0.6176;0.3529;0.6176;17;1
16;76;4.41;106.9868;127.1842;0.5658;3.1728;0.7727;273.1389;9666.0;12.2;0.3158;0.6711;0.2895;0.6974;0.25;0.7368;17;1
