;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;Describe;391;770;472;786;778.0;;1;[np.float64(821.0)];[np.float64(22.330679416656494)];66.0;66.0;1;2.2205;2.2891;623.5511419587554;2.25;66.0;66.0
1;1;the;480;770;509;786;778.0;0.0;1;[];[];0.0;0.0;0;;;586.5886359105717;;;
2;2;overall;518;770;579;786;778.0;0.0;1;[np.float64(822.0), np.float64(823.0)];[np.float64(6.712716342949269), np.float64(22.322848026622783)];299.0;166.0;2;2.0761;;516.6742532706699;;149.5;299.0
3;3;appearance;587;774;699;790;782.0;4.0;1;[np.float64(824.0)];[np.float64(19.002699851989746)];134.0;134.0;1;1.9961;;397.1856311385429;;134.0;134.0
4;4;and;707;770;741;786;778.0;4.0;1;[];[];0.0;0.0;0;;;355.00183070078623;;;
5;5;atmosphere;750;770;861;790;780.0;2.0;1;[np.float64(825.0)];[np.float64(28.245697021484375)];108.0;108.0;1;1.9364;;235.53488463704863;;108.0;108.0
6;6;of;870;770;887;786;778.0;2.0;1;[];[];0.0;0.0;0;;;209.7306161047342;;;
7;7;the;894;770;923;786;778.0;0.0;1;[];[];0.0;0.0;0;;;174.09780571763343;;;
8;8;bedroom;932;770;1014;786;778.0;0.0;1;[np.float64(826.0)];[np.float64(31.396620988845825)];267.0;267.0;1;1.9602;;85.41029816765314;;267.0;267.0
9;9;in;1023;770;1037;786;778.0;0.0;1;[];[];0.0;0.0;0;;;64.03053124696885;;;
10;10;the;1045;770;1074;786;778.0;0.0;1;[];[];0.0;0.0;0;;;34.3527302135722;;;
11;11;image.;1083;770;1144;790;780.0;2.0;1;[np.float64(827.0)];[np.float64(27.2199387550354)];133.0;133.0;1;2.0573;;27.2199387550354;;133.0;133.0
