;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;No,;262;342;293;361;351.5;;1;[np.float64(2508.0)];[np.float64(0.0454581260681266)];175.0;175.0;1;2.2893;2.3864;418.3513727563871;2.34;175.0;175.0
1;1;the;302;342;331;358;350.0;1.5;1;[];[];0.0;0.0;0;;;383.5848730865985;;;
2;2;artist;339;342;386;358;350.0;0.0;1;[np.float64(2507.0)];[np.float64(0.0)];100.0;100.0;1;2.2371;2.3207;332.75695012037784;2.28;100.0;275.0
3;3;did;393;342;420;358;350.0;0.0;1;[];[];0.0;0.0;0;;;302.068013222931;;;
4;4;not;429;343;458;358;350.5;0.5;1;[];[];0.0;0.0;0;;;268.71354492374576;;;
5;5;include;466;342;533;358;350.0;0.5;1;[];[];0.0;0.0;0;;;207.6216305880945;;;
6;6;a;541;346;551;358;352.0;2.0;1;[];[];0.0;0.0;0;;;194.41370021445698;;;
7;7;chicken;559;342;631;358;350.0;2.0;1;[];[];0.0;0.0;0;;;148.44677130592927;;;
8;8;in;641;342;655;358;350.0;0.0;1;[];[];0.0;0.0;0;;;140.7280037347873;;;
9;9;this;663;342;696;358;350.0;0.0;1;[np.float64(2509.0)];[np.float64(8.744006872177067)];192.0;192.0;1;2.2417;2.3239;136.4331934452057;2.28;192.0;192.0
10;10;piece.;705;342;759;362;352.0;2.0;1;[];[];0.0;0.0;0;;;133.33699285144198;;;
11;11;The;768;342;805;358;350.0;2.0;1;[np.float64(2510.0)];[np.float64(0.3680968284606365)];74.0;74.0;1;2.2407;2.3304;157.4040276193359;2.29;74.0;74.0
12;12;image;813;342;870;362;352.0;2.0;1;[np.float64(2511.0)];[np.float64(0.0)];126.0;126.0;1;2.2083;2.3223;181.08126827690091;2.27;126.0;126.0
13;13;features;877;342;955;358;350.0;2.0;1;[];[];0.0;0.0;0;;;231.8829379932795;;;
14;14;two;963;343;996;358;350.5;0.5;1;[];[];0.0;0.0;0;;;305.6393884849907;;;
15;15;cows;1004;346;1052;358;352.0;1.5;1;[np.float64(2512.0)];[np.float64(8.461921215057373)];100.0;100.0;1;2.1591;2.2799;342.81673135513546;2.22;100.0;100.0
16;16;standing;1061;342;1141;362;352.0;0.0;1;[];[];0.0;0.0;0;;;394.39786088290737;;;
17;17;next;1150;343;1190;358;350.5;1.5;1;[];[];0.0;0.0;0;;;480.2841533594063;;;
18;18;to;1197;343;1214;358;350.5;0.0;1;[np.float64(2513.0)];[np.float64(40.1591529846192)];326.0;326.0;1;2.1349;;525.5175784431075;;326.0;326.0
19;19;each;1222;342;1267;358;350.0;0.5;1;[np.float64(2514.0)];[np.float64(0.0)];75.0;75.0;1;2.1295;2.269;549.6986895929733;2.2;75.0;75.0
20;20;other;262;425;311;440;432.5;82.5;2;[np.float64(2515.0)];[np.float64(0.0)];292.0;292.0;1;2.1392;2.1758;382.3955698825872;2.16;292.0;292.0
21;21;on;318;429;340;440;434.5;2.0;2;[];[];0.0;0.0;0;;;353.7149753789864;;;
22;22;a;343;421;353;448;434.5;0.0;2;[np.float64(2516.0)];[np.float64(8.985268763884067)];200.0;200.0;1;2.1793;2.1632;339.690025225567;2.17;200.0;200.0
23;23;dirt;367;425;396;440;432.5;2.0;2;[];[];0.0;0.0;0;;;298.5064718953538;;;
24;24;road,;405;425;451;442;433.5;1.0;2;[];[];0.0;0.0;0;;;244.19708020814772;;;
25;25;with;459;425;497;440;432.5;1.0;2;[np.float64(2517.0)];[np.float64(8.529437065124569)];200.0;200.0;1;2.1177;2.1559;200.04951156403826;2.14;200.0;200.0
26;26;a;506;429;516;440;434.5;2.0;2;[];[];0.0;0.0;0;;;181.83990041662702;;;
27;27;man;525;429;563;440;434.5;0.0;2;[np.float64(2518.0)];[np.float64(0.0)];166.0;166.0;1;2.0968;2.115;137.71567328403376;2.11;166.0;166.0
28;28;standing;572;425;652;444;434.5;0.0;2;[np.float64(2519.0)];[np.float64(0.0)];66.0;66.0;1;2.1096;2.1127;62.84799815507252;2.11;66.0;66.0
29;29;behind;661;425;723;440;432.5;2.0;2;[np.float64(2520.0)];[np.float64(0.0)];108.0;108.0;1;2.0865;2.1218;54.43319344520569;2.1;108.0;108.0
30;30;them.;732;425;783;440;432.5;0.0;2;[];[];0.0;0.0;0;;;69.05862364498563;;;
31;31;There;793;425;848;440;432.5;0.0;2;[np.float64(2521.0)];[np.float64(22.133304595947322)];192.0;192.0;1;2.1004;2.1699;116.93976343955609;2.14;192.0;192.0
32;32;are;856;429;886;440;434.5;2.0;2;[];[];0.0;0.0;0;;;175.17053683157127;;;
33;33;no;894;429;916;440;434.5;0.0;2;[np.float64(2522.0)];[np.float64(5.995556697389703)];267.0;267.0;1;2.1089;2.2373;211.6190010062848;2.17;267.0;267.0
34;34;chickens;924;425;1008;440;432.5;2.0;2;[np.float64(2523.0)];[np.float64(4.220153046876704)];134.0;134.0;1;2.0839;2.2167;240.73327666097032;2.15;134.0;134.0
35;35;in;1017;425;1031;440;432.5;0.0;2;[];[];0.0;0.0;0;;;331.9913072619795;;;
36;36;the;1039;425;1068;440;432.5;0.0;2;[np.float64(2524.0)];[np.float64(5.479049853380637)];233.0;233.0;1;2.0745;2.1908;353.7119750510853;2.13;233.0;233.0
37;37;scene.;1076;429;1138;440;434.5;2.0;2;[];[];0.0;0.0;0;;;390.3127578546155;;;
38;38;The;1147;425;1183;440;432.5;2.0;2;[np.float64(2525.0)];[np.float64(6.119693875312862)];133.0;133.0;1;2.0588;2.2159;460.7253339600993;2.14;133.0;133.0
39;39;focus;1191;425;1242;440;432.5;0.0;2;[np.float64(2526.0)];[np.float64(12.20215535163885)];200.0;200.0;1;2.0797;2.1741;504.44395104579064;2.13;200.0;200.0
40;40;of;1250;425;1268;440;432.5;0.0;2;[];[];0.0;0.0;0;;;563.13543716698;;;
41;41;the;376;506;405;522;514.0;81.5;3;[];[];0.0;0.0;0;;;284.7365535019227;;;
42;42;image;413;506;470;526;516.0;2.0;3;[];[];0.0;0.0;0;;;219.80606799566922;;;
43;43;is;478;506;492;522;514.0;2.0;3;[];[];0.0;0.0;0;;;197.83993713287074;;;
44;44;on;500;510;522;522;516.0;2.0;3;[];[];0.0;0.0;0;;;168.22331610750604;;;
45;45;the;530;506;559;522;514.0;2.0;3;[];[];0.0;0.0;0;;;131.01311872978093;;;
46;46;cows;567;510;616;522;516.0;2.0;3;[];[];0.0;0.0;0;;;75.1318750684268;;;
47;47;and;624;506;658;522;514.0;2.0;3;[];[];0.0;0.0;0;;;33.557959799432865;;;
48;48;the;666;506;695;522;514.0;0.0;3;[np.float64(2528.0)];[np.float64(11.566806554794312)];133.0;133.0;1;2.1027;2.106;11.566806554794312;2.1;133.0;133.0
49;49;man,;704;510;748;524;517.0;3.0;3;[];[];0.0;0.0;0;;;21.272786356836964;;;
50;50;and;758;506;791;522;514.0;3.0;3;[np.float64(2527.0)];[np.float64(7.704419136047363)];133.0;133.0;1;2.0689;2.1233;69.46821586882744;2.1;133.0;266.0
51;51;it;801;506;810;522;514.0;0.0;3;[];[];0.0;0.0;0;;;112.09684405254235;;;
52;52;does;817;506;863;522;514.0;0.0;3;[];[];0.0;0.0;0;;;128.02208349560487;;;
53;53;not;872;507;900;522;514.5;0.5;3;[];[];0.0;0.0;0;;;182.9306438741714;;;
54;54;include;909;506;975;522;514.0;0.5;3;[];[];0.0;0.0;0;;;219.80303570388983;;;
55;55;any;983;510;1017;526;518.0;4.0;3;[];[];0.0;0.0;0;;;293.9110141797277;;;
56;56;other;1025;506;1074;522;514.0;4.0;3;[];[];0.0;0.0;0;;;335.69781392013675;;;
57;57;animals.;1081;506;1159;522;514.0;0.0;3;[];[];0.0;0.0;0;;;391.66931489052524;;;
