;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;Did;556;770;585;786;778.0;;1;[];[];0.0;0.0;0;;;384.4832079751151;;;
1;1;the;593;770;622;786;778.0;0.0;1;[np.float64(2449.0)];[np.float64(0.0)];200.0;200.0;1;1.9717;;347.4832079751151;;200.0;200.0
2;2;artist;630;770;676;786;778.0;0.0;1;[np.float64(2455.0)];[np.float64(0.0)];408.0;408.0;1;1.9227;;293.4832079751151;;408.0;408.0
3;3;include;685;770;750;786;778.0;0.0;1;[np.float64(2450.0), np.float64(2451.0), np.float64(2456.0)];[np.float64(0.0), np.float64(0.0), np.float64(7.679470556122851)];314.0;100.0;3;1.946;;219.48320797511508;;104.6667;179.0
4;4;a;758;774;768;786;780.0;2.0;1;[];[];0.0;0.0;0;;;201.48320797511508;;;
5;5;chicken;777;770;846;786;778.0;2.0;1;[np.float64(2452.0)];[np.float64(0.0)];346.0;346.0;1;1.9102;;123.48320797511508;;346.0;346.0
6;6;in;856;770;870;786;778.0;0.0;1;[];[];0.0;0.0;0;;;99.48320797511508;;;
7;7;this;878;770;910;786;778.0;0.0;1;[];[];0.0;0.0;0;;;59.48320797511508;;;
8;8;piece?;919;770;979;790;780.0;2.0;1;[np.float64(2453.0), np.float64(2454.0), np.float64(2457.0), np.float64(2458.0), np.float64(2459.0)];[np.float64(0.0), np.float64(0.0), np.float64(25.923079507691455), np.float64(18.967536466462207), np.float64(0.0)];571.0;136.0;5;1.9745;;0.0;;114.2;1114.0
