;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;What;497;770;546;786;778.0;;1;[];[];0.0;0.0;0;;;226.9622104020518;;;
1;1;is;555;770;568;786;778.0;0.0;1;[];[];0.0;0.0;0;;;204.9804379524659;;;
2;2;the;576;770;604;786;778.0;0.0;1;[];[];0.0;0.0;0;;;169.02049613254889;;;
3;3;name;613;774;664;786;780.0;2.0;1;[np.float64(3296.0), np.float64(3300.0)];[np.float64(8.582487226315521), np.float64(34.65292639894926)];533.0;166.0;2;1.695;;109.14596524413254;;266.5;166.0
4;4;of;673;770;690;786;778.0;2.0;1;[np.float64(3305.0), np.float64(3306.0)];[np.float64(3.158720493316764), np.float64(3.0676598548890297)];267.0;133.0;2;2.0796;;83.25645698333696;;133.5;267.0
5;5;the;697;770;726;786;778.0;0.0;1;[];[];0.0;0.0;0;;;47.60867357033264;;;
6;6;school;735;770;794;786;778.0;0.0;1;[np.float64(3307.0)];[np.float64(8.77828922867775)];200.0;200.0;1;2.0494;;8.77828922867775;;200.0;200.0
7;7;mentioned;803;770;901;786;778.0;0.0;1;[np.float64(3297.0)];[np.float64(14.87774778689652)];700.0;700.0;1;2.096;2.2937;31.457245162675886;2.19;700.0;700.0
8;8;in;910;770;924;786;778.0;0.0;1;[];[];0.0;0.0;0;;;137.48813605330866;;;
9;9;the;932;770;961;786;778.0;0.0;1;[];[];0.0;0.0;0;;;159.44943570929502;;;
10;10;image?;970;770;1038;790;780.0;2.0;1;[np.float64(3298.0)];[np.float64(22.521818548440933)];179.0;179.0;1;2.1379;;197.2654933275562;;179.0;1013.0
