;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;What;473;770;522;786;778.0;;1;[np.float64(1487.0)];[np.float64(2.657446427778723)];166.0;166.0;1;2.779;2.8116;520.6664905651679;2.8;166.0;166.0
1;1;is;530;770;543;786;778.0;0.0;1;[];[];0.0;0.0;0;;;499.6677901098093;;;
2;2;the;551;770;580;786;778.0;0.0;1;[];[];0.0;0.0;0;;;462.6703668066606;;;
3;3;title;588;770;620;786;778.0;0.0;1;[np.float64(1467.0), np.float64(1488.0)];[np.float64(6.018915219740393), np.float64(7.06958326859899)];299.0;133.0;2;2.809;2.8391;422.67365987372864;2.82;149.5;465.0
4;4;of;629;770;646;786;778.0;0.0;1;[];[];0.0;0.0;0;;;396.6761564936569;;;
5;5;the;653;770;682;786;778.0;0.0;1;[np.float64(1466.0)];[np.float64(9.746814532713415)];134.0;134.0;1;2.7859;2.8176;360.6802075490399;2.8;134.0;599.0
6;6;book;691;770;735;786;778.0;0.0;1;[np.float64(1489.0), np.float64(1491.0)];[np.float64(3.966939492659094), np.float64(15.012070222334387)];400.0;200.0;2;2.7578;2.8351;307.68789663785117;2.8;200.0;200.0
7;7;or;743;774;761;786;780.0;2.0;1;[];[];0.0;0.0;0;;;281.801679856343;;;
8;8;study;769;770;818;790;780.0;0.0;1;[np.float64(1490.0), np.float64(1492.0)];[np.float64(0.0), np.float64(0.0)];301.0;134.0;2;2.7735;2.8767;224.7072254729772;2.83;150.5;501.0
9;9;mentioned;827;770;925;786;778.0;2.0;1;[np.float64(1493.0)];[np.float64(0.0)];200.0;200.0;1;2.7624;2.8323;117.77234514149497;2.8;200.0;200.0
10;10;in;934;770;948;786;778.0;0.0;1;[];[];0.0;0.0;0;;;94.80553294719627;;;
11;11;the;956;770;985;786;778.0;0.0;1;[];[];0.0;0.0;0;;;57.91422040562524;;;
12;12;image?;994;770;1062;790;780.0;2.0;1;[np.float64(1494.0), np.float64(1510.0)];[np.float64(3.3501812823407136), np.float64(5.674331613020399)];400.0;233.0;2;2.7703;2.8074;5.674331613020399;2.79;200.0;400.0
