;ID;x;y;duration;pupil_r;pupil_l;word;word_number;distance
2019;2021;618.6749251516242;765.4391714648197;200.0;2.965428670247396;2.83111572265625;;;
2020;2022;699.1666646971737;766.4004917288185;233.0;2.975337437220982;2.8565455845424106;quote;3.0;4.5995082711815485
2021;2023;808.3824797780891;778.3664842204043;167.0;3.00924072265625;2.89449462890625;image;6.0;0.0
2022;2024;841.9286193044561;781.5044318751285;167.0;3.0238311767578123;2.905963134765625;image;6.0;0.0
2023;2025;915.1762145193;789.9765345171878;200.0;3.003178914388021;2.8825836181640625;suggesting?;7.0;0.0
2024;2026;783.2674277456183;777.9893175677249;200.0;2.9709981282552085;2.8755620320638022;the;5.0;0.0
2025;2027;846.8462828786749;782.6116735056827;167.0;2.9588958740234377;2.887384033203125;image;6.0;0.0
2026;2028;928.0632537038703;787.3719499186466;167.0;2.9054473876953124;2.8530548095703123;suggesting?;7.0;0.0
2027;2029;825.7660604491268;761.6766085086908;241.0;2.934849330357143;2.888434273856027;image;6.0;8.323391491309167
