;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;What;566;770;615;786;778.0;;1;[];[];0.0;0.0;0;;;273.709437320107;;;
1;1;are;623;774;652;786;780.0;2.0;1;[];[];0.0;0.0;0;;;236.70943732010699;;;
2;2;the;660;770;689;786;778.0;2.0;1;[];[];0.0;0.0;0;;;199.70943732010699;;;
3;3;key;698;770;729;790;780.0;2.0;1;[np.float64(2554.0)];[np.float64(2.1644577126753575)];167.0;167.0;1;2.862;2.954;159.70943732010699;2.91;167.0;167.0
4;4;elements;737;770;822;786;778.0;2.0;1;[np.float64(2555.0)];[np.float64(0.0)];167.0;167.0;1;2.8776;2.9527;66.70943732010699;2.92;167.0;167.0
5;5;in;831;770;845;786;778.0;0.0;1;[];[];0.0;0.0;0;;;43.709437320106986;;;
6;6;this;853;770;886;786;778.0;0.0;1;[np.float64(2557.0)];[np.float64(2.7094373201069857)];333.0;333.0;1;2.8473;2.9416;2.7094373201069857;2.89;333.0;333.0
7;7;picture?;894;770;968;790;780.0;2.0;1;[np.float64(2556.0)];[np.float64(0.0)];233.0;233.0;1;2.8939;2.9509;5.290562679893014;2.92;233.0;566.0
