;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;The;257;261;293;276;268.5;;1;[];[];0.0;0.0;0;;;450.01648052613103;;;
1;1;title;301;261;334;276;268.5;0.0;1;[np.float64(1670.0)];[np.float64(11.858169078826904)];133.0;133.0;1;2.9235;2.983;412.098050873454;2.95;133.0;133.0
2;2;of;342;261;360;276;268.5;0.0;1;[np.float64(1671.0)];[np.float64(0.0)];133.0;133.0;1;2.8634;2.9239;388.37680299799325;2.89;133.0;133.0
3;3;NaomiKlein's;367;261;490;276;268.5;0.0;1;[np.float64(1672.0), np.float64(1674.0), np.float64(1675.0), np.float64(1676.0)];[np.float64(1.857998013496399), np.float64(3.638930082321167), np.float64(2.666523288277972), np.float64(7.020207309722821)];1068.0;134.0;4;2.8753;2.9457;275.9986032086993;2.91;267.0;134.0
4;4;book;499;261;545;276;268.5;0.0;1;[np.float64(1673.0)];[np.float64(1.3206490874289898)];267.0;267.0;1;2.8804;2.9777;234.01442426206088;2.93;267.0;1201.0
5;5;"""The";553;261;596;276;268.5;0.0;1;[np.float64(1677.0)];[np.float64(8.738213637545096)];200.0;200.0;1;2.828;2.8642;200.78232913987412;2.85;200.0;200.0
6;6;Shock;605;261;664;276;268.5;0.0;1;[];[];0.0;0.0;0;;;170.70423038403186;;;
7;7;"Doctrine""";672;261;759;276;268.5;0.0;1;[np.float64(1678.0)];[np.float64(6.992111614772227)];233.0;233.0;1;2.831;2.8661;163.77012948989864;2.85;233.0;233.0
8;8;is;768;261;782;276;268.5;0.0;1;[np.float64(1679.0)];[np.float64(6.922166347503605)];200.0;200.0;1;2.8923;2.9174;173.02856574558257;2.9;200.0;200.0
9;9;"""The";790;261;834;276;268.5;0.0;1;[np.float64(1681.0)];[np.float64(0.7796759605407715)];233.0;233.0;1;3.0297;3.0544;181.32813703282156;3.04;233.0;233.0
10;10;End;843;261;878;276;268.5;0.0;1;[np.float64(1680.0)];[np.float64(4.19029426574707)];266.0;266.0;1;2.9607;2.9729;209.61882224798794;2.97;266.0;499.0
11;11;of;887;261;905;276;268.5;0.0;1;[];[];0.0;0.0;0;;;239.5622425848326;;;
12;12;Employment;912;261;1030;280;270.5;2.0;1;[np.float64(1682.0), np.float64(1685.0), np.float64(1686.0), np.float64(1692.0)];[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)];800.0;234.0;4;3.0078;3.0042;255.85730866098336;3.01;200.0;234.0
13;13;and;1038;261;1072;276;268.5;2.0;1;[];[];0.0;0.0;0;;;364.6821663311081;;;
14;14;the;1080;261;1109;276;268.5;0.0;1;[np.float64(1687.0)];[np.float64(0.0)];167.0;167.0;1;2.9964;2.9533;402.65088531242503;2.97;167.0;167.0
15;15;Rise;1118;261;1160;276;268.5;0.0;1;[np.float64(1683.0), np.float64(1688.0)];[np.float64(0.0), np.float64(0.0)];300.0;200.0;2;3.0378;2.9786;437.6387318192798;3.01;150.0;200.0
16;16;of;1167;261;1186;276;268.5;0.0;1;[];[];0.0;0.0;0;;;483.42640400768914;;;
17;17;Disaster;1193;261;1273;276;268.5;0.0;1;[np.float64(1684.0)];[np.float64(0.0)];167.0;167.0;1;3.0412;2.9657;507.96537841180447;3.0;167.0;867.0
18;18;"Capitalism.""";250;342;364;362;352.0;83.5;2;[];[];0.0;0.0;0;;;356.7391311478198;;;
19;19;This;372;342;412;358;350.0;2.0;2;[np.float64(1690.0), np.float64(1693.0)];[np.float64(1.9048094749450684), np.float64(27.067255973815918)];199.0;66.0;2;2.9927;3.0584;311.09759725379286;3.03;99.5;66.0
20;20;book;421;342;465;358;350.0;0.0;2;[];[];0.0;0.0;0;;;260.33415522732116;;;
21;21;explores;474;342;554;362;352.0;2.0;2;[np.float64(1689.0), np.float64(1694.0)];[np.float64(8.231303215026912), np.float64(8.527729238782626)];833.0;600.0;2;2.9708;3.0215;176.2453642500718;3.0;416.5;666.0
22;22;how;563;342;601;358;350.0;2.0;2;[];[];0.0;0.0;0;;;137.99512140023904;;;
23;23;economic;609;342;700;358;350.0;0.0;2;[np.float64(1695.0)];[np.float64(11.109367609024048)];200.0;200.0;1;2.9348;2.9686;82.66917655001852;2.95;200.0;200.0
24;24;policies;709;342;779;362;352.0;2.0;2;[];[];0.0;0.0;0;;;77.77012948989864;;;
25;25;have;788;342;833;358;350.0;2.0;2;[];[];0.0;0.0;0;;;111.52680222591964;;;
26;26;become;841;342;916;358;350.0;0.0;2;[];[];0.0;0.0;0;;;152.59877121254695;;;
27;27;increasingly;925;342;1038;362;352.0;2.0;2;[np.float64(1691.0)];[np.float64(84.09129309654236)];134.0;134.0;1;2.9977;2.9676;226.60434670482258;2.98;134.0;833.0
28;28;harmful;1046;342;1115;358;350.0;2.0;2;[np.float64(1696.0)];[np.float64(0.0)];267.0;267.0;1;2.9851;2.9661;343.7095269532841;2.98;267.0;267.0
29;29;to;1123;343;1141;358;350.5;0.5;2;[];[];0.0;0.0;0;;;418.89947412693357;;;
30;30;human;1149;342;1212;358;350.0;0.5;2;[];[];0.0;0.0;0;;;444.42829230041565;;;
31;31;rights,;1221;342;1278;362;352.0;2.0;2;[np.float64(1697.0)];[np.float64(7.858511924743652)];100.0;100.0;1;3.007;2.9495;514.7499056772505;2.98;100.0;100.0
32;32;social;275;425;329;440;432.5;80.5;3;[];[];0.0;0.0;0;;;383.15889282226556;;;
33;33;justice,;336;425;403;444;434.5;2.0;3;[];[];0.0;0.0;0;;;309.15889282226556;;;
34;34;and;412;425;446;440;432.5;2.0;3;[];[];0.0;0.0;0;;;266.15889282226556;;;
35;35;environmental;455;425;589;440;432.5;0.0;3;[np.float64(1701.0)];[np.float64(0.0)];159.0;159.0;1;2.9754;3.0206;123.15889282226556;3.0;159.0;159.0
36;36;sustainability.;597;425;726;444;434.5;2.0;3;[np.float64(1702.0)];[np.float64(0.0)];167.0;167.0;1;3.0397;3.0552;0.0;3.05;167.0;167.0
37;37;It;737;425;747;440;432.5;2.0;3;[];[];0.0;0.0;0;;;24.841107177734443;;;
38;38;argues;755;429;819;444;436.5;4.0;3;[];[];0.0;0.0;0;;;42.84110717773444;;;
39;39;that;827;425;863;440;432.5;4.0;3;[];[];0.0;0.0;0;;;114.84110717773444;;;
40;40;the;870;425;899;440;432.5;0.0;3;[];[];0.0;0.0;0;;;157.84110717773444;;;
41;41;shock;908;425;963;440;432.5;0.0;3;[];[];0.0;0.0;0;;;195.84110717773444;;;
