;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;What;533;770;582;786;778.0;;1;[];[];0.0;0.0;0;;;309.92658057579627;;;
1;1;type;589;771;628;790;780.5;2.5;1;[];[];0.0;0.0;0;;;263.92658057579627;;;
2;2;of;637;770;654;786;778.0;2.5;1;[];[];0.0;0.0;0;;;237.92658057579627;;;
3;3;furniture;661;770;740;786;778.0;0.0;1;[np.float64(621.0)];[np.float64(0.0)];267.0;267.0;1;2.983;2.9889;151.92658057579627;2.99;267.0;267.0
4;4;can;748;774;780;786;780.0;2.0;1;[np.float64(647.0)];[np.float64(2.6092837407039724)];100.0;100.0;1;3.0552;3.1779;111.92658057579627;3.12;100.0;100.0
5;5;you;789;774;821;790;782.0;2.0;1;[np.float64(622.0)];[np.float64(0.0)];167.0;167.0;1;3.0092;3.0198;70.92658057579627;3.01;167.0;167.0
6;6;see;830;774;862;786;780.0;2.0;1;[np.float64(623.0)];[np.float64(0.0)];267.0;267.0;1;2.9259;2.9711;29.926580575796265;2.95;267.0;267.0
7;7;in;871;770;885;786;778.0;2.0;1;[];[];0.0;0.0;0;;;6.926580575796265;;;
8;8;this;893;770;926;786;778.0;0.0;1;[np.float64(624.0), np.float64(649.0)];[np.float64(1.4909268892728278), np.float64(1.0734194242037347)];399.0;133.0;2;3.0126;3.1048;1.0734194242037347;3.06;199.5;133.0
9;9;image?;934;770;1002;790;780.0;2.0;1;[np.float64(625.0), np.float64(648.0)];[np.float64(0.0), np.float64(0.0)];266.0;66.0;2;3.0049;3.0852;42.073419424203735;3.05;133.0;632.0
