;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;What;525;770;574;786;778.0;;1;[];[];0.0;0.0;0;;;386.81863185337625;;;
1;1;color;582;770;628;786;778.0;0.0;1;[];[];0.0;0.0;0;;;332.81863185337625;;;
2;2;is;636;770;649;786;778.0;0.0;1;[np.float64(2178.0)];[np.float64(5.1178997925348995)];134.0;134.0;1;2.7352;2.8062;311.81863185337625;2.77;134.0;134.0
3;3;the;656;770;685;786;778.0;0.0;1;[];[];0.0;0.0;0;;;275.81863185337625;;;
4;4;predominant;694;770;812;790;780.0;2.0;2;[np.float64(2179.0)];[np.float64(2.5794115066527183)];233.0;233.0;1;2.7497;2.8113;148.81863185337625;2.78;233.0;233.0
5;5;airplane;820;770;895;790;780.0;0.0;2;[np.float64(2180.0), np.float64(2182.0)];[np.float64(0.0), np.float64(0.0)];367.0;200.0;2;2.7655;2.8146;65.81863185337625;2.79;183.5;200.0
6;6;on;903;774;925;786;780.0;0.0;2;[np.float64(2183.0)];[np.float64(0.0)];100.0;100.0;1;2.7873;2.8116;35.818631853376246;2.8;100.0;100.0
7;7;display?;934;770;1010;790;780.0;0.0;2;[np.float64(2181.0), np.float64(2184.0)];[np.float64(0.0), np.float64(0.0)];367.0;267.0;2;2.8127;2.8625;0.0;2.84;183.5;634.0
