;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;The;275;302;311;317;309.5;;1;[];[];0.0;0.0;0;;;495.0950012207031;;;
1;1;main;320;302;363;317;309.5;0.0;1;[np.float64(3129.0)];[np.float64(11.453043639659882)];267.0;267.0;1;3.2846;3.3882;443.0950012207031;3.34;267.0;267.0
2;2;topic;371;302;417;321;311.5;2.0;1;[];[];0.0;0.0;0;;;389.0950012207031;;;
3;3;of;425;302;443;317;309.5;2.0;1;[];[];0.0;0.0;0;;;363.0950012207031;;;
4;4;the;449;302;478;317;309.5;0.0;1;[np.float64(3130.0)];[np.float64(0.0)];166.0;166.0;1;3.125;;328.0950012207031;;166.0;166.0
5;5;report;487;302;542;321;311.5;2.0;1;[np.float64(3160.0)];[np.float64(21.09668618145231)];133.0;133.0;1;2.7672;2.8455;264.0950012207031;2.81;133.0;133.0
6;6;mentioned;550;302;648;317;309.5;2.0;1;[np.float64(3131.0), np.float64(3161.0)];[np.float64(2.190725054059669), np.float64(0.0)];299.0;233.0;2;2.9395;3.0179;158.09500122070312;2.98;149.5;233.0
7;7;in;657;302;671;317;309.5;0.0;1;[];[];0.0;0.0;0;;;135.09500122070312;;;
8;8;the;679;302;709;317;309.5;0.0;1;[np.float64(3132.0)];[np.float64(6.030892562866143)];166.0;166.0;1;3.1239;3.2663;97.09500122070312;3.2;166.0;166.0
9;9;image;717;302;774;321;311.5;2.0;1;[np.float64(3162.0)];[np.float64(0.0)];133.0;133.0;1;2.7344;2.8045;32.095001220703125;2.77;133.0;133.0
10;10;is;782;302;796;317;309.5;2.0;1;[];[];0.0;0.0;0;;;10.095001220703125;;;
11;11;"""Access";804;302;881;317;309.5;0.0;1;[np.float64(3133.0), np.float64(3163.0), np.float64(3166.0)];[np.float64(0.0), np.float64(1.0618165731430054), np.float64(0.0)];768.0;200.0;3;2.9826;3.0843;0.0;3.03;256.0;200.0
12;12;to;889;302;906;317;309.5;0.0;1;[];[];0.0;0.0;0;;;82.90499877929688;;;
13;13;Justice;914;302;982;317;309.5;0.0;1;[np.float64(3134.0), np.float64(3164.0)];[np.float64(5.802775287628208), np.float64(4.142252087593079)];434.0;167.0;2;3.0348;3.1558;107.90499877929688;3.1;217.0;167.0
14;14;for;989;302;1015;317;309.5;0.0;1;[];[];0.0;0.0;0;;;182.90499877929688;;;
15;15;Internally;1023;302;1109;321;311.5;2.0;1;[np.float64(3135.0), np.float64(3165.0)];[np.float64(9.491217803955067), np.float64(9.974524617195186)];601.0;334.0;2;3.0715;3.1617;216.90499877929688;3.12;300.5;334.0
16;16;Displaced;1118;302;1211;321;311.5;0.0;1;[np.float64(3136.0)];[np.float64(6.538171768188477)];200.0;200.0;1;3.2918;3.3883;311.9049987792969;3.34;200.0;200.0
17;17;and;1219;302;1253;317;309.5;2.0;1;[np.float64(3137.0)];[np.float64(11.574732875823997)];167.0;167.0;1;3.2764;3.3737;412.9049987792969;3.33;167.0;167.0
18;18;Ethnic;257;383;315;398;390.5;81.0;2;[];[];0.0;0.0;0;;;495.70373824200175;;;
19;19;Minority;324;383;398;402;392.5;2.0;2;[np.float64(3138.0), np.float64(3139.0)];[np.float64(0.0), np.float64(2.8356984456380587)];433.0;133.0;2;3.2372;3.408;413.6295757129297;3.32;216.5;433.0
20;20;"Women.""";405;383;492;398;390.5;2.0;2;[];[];0.0;0.0;0;;;321.25311776691916;;;
21;21;The;500;383;536;398;390.5;0.0;2;[np.float64(3140.0)];[np.float64(15.724377427782315)];233.0;233.0;1;3.2404;3.3801;278.3867912950328;3.31;233.0;233.0
22;22;report;545;384;599;402;393.0;2.5;2;[];[];0.0;0.0;0;;;218.11031977478038;;;
23;23;appears;607;387;684;402;394.5;1.5;2;[np.float64(3141.0)];[np.float64(8.401478519464298)];234.0;234.0;1;3.1109;3.2475;141.45879230469046;3.18;234.0;234.0
24;24;to;692;384;709;398;391.0;3.5;2;[];[];0.0;0.0;0;;;118.79061967892189;;;
25;25;be;717;383;739;398;390.5;0.5;2;[np.float64(3142.0)];[np.float64(2.210959792137146)];267.0;267.0;1;3.0568;3.1863;95.12956991355894;3.12;267.0;267.0
26;26;an;747;387;769;398;392.5;2.0;2;[];[];0.0;0.0;0;;;80.49496700280098;;;
27;27;analytical;778;383;867;402;392.5;0.0;2;[];[];0.0;0.0;0;;;67.43808926068817;;;
28;28;study;875;383;926;402;392.5;0.0;2;[np.float64(3143.0)];[np.float64(0.0)];167.0;167.0;1;3.0168;3.1371;96.41470188673225;3.08;167.0;167.0
29;29;conducted;934;383;1033;398;390.5;2.0;2;[np.float64(3144.0)];[np.float64(0.0)];400.0;400.0;1;2.916;3.0432;144.59455244186927;2.98;400.0;400.0
30;30;in;1042;383;1056;398;390.5;0.0;2;[];[];0.0;0.0;0;;;245.3549761716534;;;
31;31;2015,;1065;383;1116;401;392.0;1.5;2;[];[];0.0;0.0;0;;;267.5438174879776;;;
32;32;focusing;1125;383;1205;402;392.5;0.5;2;[np.float64(3145.0), np.float64(3146.0), np.float64(3147.0), np.float64(3148.0), np.float64(3149.0)];[np.float64(34.46887683868408), np.float64(38.94063425064087), np.float64(25.504673153593313), np.float64(18.679860548539637), np.float64(20.790810346603394)];1834.0;200.0;5;2.7026;2.6929;325.95750356381717;2.7;366.8;1834.0
33;33;on;1213;387;1235;398;392.5;0.0;2;[];[];0.0;0.0;0;;;413.12840452914594;;;
34;34;the;1244;383;1273;398;390.5;2.0;2;[];[];0.0;0.0;0;;;443.0673581285678;;;
35;35;challenges;283;466;385;485;475.5;85.0;3;[np.float64(3151.0)];[np.float64(0.0)];234.0;234.0;1;3.0098;3.0711;447.16061851807876;3.04;234.0;234.0
36;36;and;393;466;427;481;473.5;2.0;3;[np.float64(3150.0), np.float64(3152.0)];[np.float64(3.766766548156795), np.float64(0.0)];333.0;100.0;2;2.9375;3.0003;407.8536976060554;2.97;166.5;567.0
37;37;issues;436;466;496;481;473.5;0.0;3;[];[];0.0;0.0;0;;;344.66001868867045;;;
38;38;faced;504;466;556;481;473.5;0.0;3;[];[];0.0;0.0;0;;;291.8546356253234;;;
39;39;by;565;466;586;485;475.5;2.0;3;[];[];0.0;0.0;0;;;266.5960019631729;;;
40;40;women;593;470;662;481;475.5;0.0;3;[];[];0.0;0.0;0;;;211.22143071025423;;;
41;41;who;669;466;709;481;473.5;2.0;3;[];[];0.0;0.0;0;;;179.05043413087589;;;
42;42;are;716;470;746;481;475.5;2.0;3;[];[];0.0;0.0;0;;;165.71823250991002;;;
