;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;28.1;False;False;22.85;27.62;;;;0
1;28.2;False;True;34.91;20.82;;;;0
2;26.2;False;False;23.39;25.55;;;;0
3;26.1;False;True;24.91;23.52;;;;0
4;17.1;False;True;42.59;18.9;;;;0
5;17.2;False;True;35.4;29.41;;;;0
6;12.2;False;False;31.71;34.64;;;;0
7;12.1;False;True;31.97;10.76;;;;0
8;24.1;False;True;25.42;22.0;;;;0
9;24.2;False;True;29.53;23.03;;;;0
10;21.2;False;True;22.85;17.45;;;;0
11;21.1;False;True;30.59;28.48;;;;0
12;6.2;False;False;28.68;47.74;;;;0
13;6.1;False;True;42.44;28.85;;;;0
14;4.1;False;False;34.15;51.43;;;;0
15;4.2;False;True;60.83;56.45;;;32.33;3
16;16.2;False;False;18.12;45.61;;;;0
17;16.1;False;True;29.22;19.9;;;;0
18;3.1;False;True;24.35;22.19;;;;0
19;3.2;False;True;38.73;35.83;;;32.71;1
20;9.2;False;False;28.05;74.47;;;;0
21;9.1;False;False;15.97;31.98;;;;0
22;25.1;False;False;27.95;55.27;;;;0
23;25.2;False;False;19.62;22.88;;;;0
24;8.1;False;False;36.83;98.3;;;;0
25;8.2;False;False;33.47;128.76;;;;0
26;2.1;False;False;16.49;17.09;;;;0
27;2.2;False;False;26.48;55.66;;;;0
28;19.2;False;True;33.69;15.44;;;;0
29;19.1;False;False;27.82;31.1;;;;0
30;5.1;False;True;26.61;14.61;;;;0
31;5.2;False;False;24.43;65.89;;;;0
32;27.1;False;True;22.73;20.41;;;;0
33;27.2;False;True;30.06;25.88;;;;0
34;30.2;False;False;18.74;83.13;;;;0
35;30.1;False;False;29.24;46.01;;;;0
36;15.1;False;True;42.09;4.67;;;;0
37;15.2;False;False;33.1;41.71;;;;0
38;22.2;False;True;53.25;46.36;;;35.74;1
39;22.1;False;False;25.94;32.15;;;;0
40;20.1;False;False;28.68;33.41;;;;0
41;20.2;False;False;33.33;50.38;;;;0
42;1.1;False;True;39.6;30.39;;;;0
43;1.2;False;True;27.22;11.41;;;;0
44;10.1;False;True;35.83;21.59;;;;0
45;10.2;False;True;33.7;26.18;;;;0
46;11.1;False;True;40.01;8.02;;;;0
47;11.2;False;True;46.53;10.02;;;;0
48;23.2;False;True;39.12;32.02;;;;0
49;23.1;False;True;28.77;21.11;;;19.69;1
50;29.2;False;False;36.68;43.65;;;;0
51;29.1;False;False;30.84;161.08;;;;0
52;18.2;False;True;48.42;6.54;;;;0
53;18.1;False;True;41.33;27.46;;;;0
54;13.2;False;False;25.07;27.91;;;;0
55;13.1;False;False;37.96;71.96;;;;0
56;14.1;False;False;32.69;34.69;;;;0
57;14.2;False;False;27.92;31.49;;;;0
58;7.2;False;False;32.17;38.33;;;;0
59;7.1;False;False;35.91;91.43;;;;0
60;28.0;False;False;33.98;;;;;0
61;26.0;False;True;35.99;22.1;;;;0
62;17.0;False;True;38.69;21.27;;;;0
63;12.0;False;False;22.46;41.96;;;;0
64;24.0;False;False;13.89;22.59;;;;0
65;21.0;False;False;33.25;36.76;;;;0
66;6.0;False;False;15.36;60.94;;;;0
67;4.0;False;False;23.56;33.36;;;;0
68;16.0;False;False;26.62;77.53;;;;0
69;3.0;False;True;29.56;14.93;;;;0
70;9.0;False;False;23.03;71.51;;;;0
71;25.0;False;True;30.37;0.97;;;;0
72;8.0;False;False;8.36;30.27;;;;0
73;2.0;False;False;19.43;139.37;;;;0
74;19.0;False;False;27.37;50.74;;;;0
75;5.0;False;False;6.12;93.8;;;;0
76;27.0;False;False;2.82;161.4;;;;0
77;30.0;False;False;24.27;56.65;;;;0
78;15.0;False;False;13.03;85.73;;;;0
79;22.0;False;False;13.51;117.99;;;;0
80;20.0;False;False;8.75;20.04;;;;0
81;1.0;False;False;11.18;72.79;;;;0
82;10.0;False;False;6.55;33.92;;;;0
83;11.0;False;True;23.37;15.37;;;;0
84;23.0;False;False;15.67;34.09;;;;0
85;29.0;False;False;20.02;26.31;;;;0
86;18.0;False;False;2.17;85.6;;;;0
87;13.0;False;True;48.62;32.56;;;;0
88;14.0;False;False;8.76;63.01;;;;0
89;7.0;False;True;27.73;10.52;;;;0
