;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session
0;73;4.6;130.0411;164.7534;0.7671;2.7559;0.7544;339.2727;12027.0;28.1;0.3973;0.589;0.3973;0.589;0.3151;0.6712;21;1
1;28;3.18;161.9286;294.1786;1.4643;2.7695;0.6905;511.2727;8237.0;28.2;0.4286;0.5357;0.5;0.4643;0.3929;0.5714;21;1
2;85;4.95;142.4471;184.4353;0.7765;2.7471;0.7612;373.7917;15677.0;26.2;0.3647;0.6235;0.3765;0.6118;0.2941;0.6941;21;1
3;21;5.0;174.4762;325.5714;1.0476;2.8938;0.6087;897.0769;6837.0;26.1;0.4762;0.4762;0.381;0.5714;0.3333;0.619;21;1
4;2;9.5;66.5;1317.0;3.5;2.79;0.0;2634.0;2634.0;17.1;0.5;0.0;0.5;0.0;0.5;0.0;21;1
5;35;5.66;90.4571;136.2;0.7143;2.7575;0.7692;346.0;4767.0;17.2;0.3143;0.6571;0.2571;0.7143;0.2571;0.7143;21;1
6;76;4.41;135.6974;195.2763;0.8289;2.7138;0.75;376.0638;14841.0;12.2;0.4474;0.5395;0.4079;0.5789;0.3421;0.6447;21;1
7;16;4.19;127.625;131.8125;0.5625;2.8488;0.6;276.125;2109.0;12.1;0.3125;0.625;0.3125;0.625;0.3125;0.625;21;1
8;106;4.65;130.8302;226.8302;0.8774;2.7241;0.6596;614.3333;24044.0;24.1;0.3774;0.6132;0.3491;0.6415;0.283;0.7075;21;1
9;110;4.23;125.5727;175.1818;0.7455;2.7689;0.7349;399.4545;19270.0;24.2;0.3182;0.6727;0.3273;0.6636;0.2727;0.7182;21;1
10;136;4.16;109.3897;126.7132;0.625;2.6875;0.7442;340.1739;17233.0;21.2;0.3824;0.6103;0.3971;0.5956;0.3309;0.6618;21;1
11;55;4.0;75.4;114.8;0.5818;2.7519;0.7273;429.6087;6314.0;21.1;0.2909;0.6909;0.3091;0.6727;0.2727;0.7091;21;1
12;57;4.12;112.2807;138.0;0.5965;2.8143;0.8571;303.5714;7866.0;6.2;0.3333;0.6491;0.3333;0.6491;0.2632;0.7193;21;1
13;58;3.9;101.7241;131.0517;0.6379;2.7761;0.7368;347.6429;7601.0;6.1;0.3448;0.6379;0.3448;0.6379;0.2759;0.7069;21;1
14;82;4.55;104.4634;122.7683;0.5976;2.7495;0.86;263.5;10067.0;4.1;0.3659;0.622;0.4024;0.5854;0.3293;0.6585;21;1
15;101;5.11;95.7822;152.5446;0.6931;2.7478;0.7183;437.675;15407.0;4.2;0.3168;0.6733;0.3069;0.6832;0.2871;0.703;21;1
16;38;4.76;100.8421;162.2368;0.8421;2.9095;0.6061;363.4286;6165.0;16.2;0.3947;0.5789;0.3158;0.6579;0.2632;0.7105;21;1
17;21;4.48;141.2381;188.8571;0.9524;2.7914;0.5714;340.4286;3966.0;16.1;0.381;0.5714;0.381;0.5714;0.381;0.5714;21;1
