;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session
0;30;4.3;231.1;380.0667;1.5;3.2943;0.7609;459.6429;11402.0;8.1;0.5;0.4667;0.4667;0.5;0.2;0.7667;22;1
1;16;4.62;210.9375;345.8125;1.25;3.2517;0.619;477.75;5533.0;8.2;0.4375;0.5;0.5625;0.375;0.375;0.5625;22;1
2;47;4.43;204.6809;342.0638;1.4255;3.1641;0.7353;492.7179;16077.0;7.2;0.4681;0.5106;0.4681;0.5106;0.3191;0.6596;22;1
3;2;5.5;383.5;1783.5;5.0;3.2;0.2727;1783.5;3567.0;7.1;0.0;0.5;0.5;0.0;0.0;0.5;22;1
4;19;3.89;210.8421;457.8421;1.7895;3.146;0.7143;640.0;8699.0;19.2;0.4211;0.5263;0.4211;0.5263;0.2632;0.6842;22;1
5;115;4.5;159.9913;239.9826;1.087;3.1401;0.7143;397.9878;27598.0;19.1;0.4696;0.5217;0.487;0.5043;0.4087;0.5826;22;1
6;21;5.0;130.2381;292.4286;1.381;3.2007;0.7;420.5333;6141.0;26.1;0.381;0.5714;0.5238;0.4286;0.381;0.5714;22;1
7;85;4.95;156.9882;209.1647;0.9765;3.2092;0.7738;314.4762;17779.0;26.2;0.4;0.5882;0.4235;0.5647;0.3059;0.6824;22;1
8;110;4.23;163.8545;270.8;1.1273;4.0413;0.816;416.6329;29788.0;24.2;0.4545;0.5364;0.4636;0.5273;0.3091;0.6818;22;1
9;106;4.65;169.5849;303.8774;1.3679;3.9915;0.7329;439.7412;32211.0;24.1;0.4623;0.5283;0.4151;0.5755;0.3396;0.6509;22;1
10;93;5.25;143.8065;179.7527;0.9247;3.9406;0.7816;265.4412;16717.0;10.1;0.4194;0.5699;0.4301;0.5591;0.3333;0.6559;22;1
11;72;4.94;158.8056;222.1944;1.0556;3.9508;0.7792;318.9216;15998.0;10.2;0.5139;0.4722;0.5139;0.4722;0.3472;0.6389;22;1
12;59;4.58;177.2373;392.1186;1.6271;3.9947;0.732;504.2766;23135.0;9.2;0.4915;0.4915;0.5254;0.4576;0.3559;0.6271;22;1
13;74;4.62;115.7568;333.0676;1.5135;3.97;0.6549;604.186;24647.0;9.1;0.4054;0.5811;0.3784;0.6081;0.3649;0.6216;22;1
14;15;5.07;206.6;313.3333;1.2;3.9492;0.6842;429.9167;4700.0;11.2;0.4667;0.4667;0.4667;0.4667;0.3333;0.6;22;1
15;7;5.29;214.4286;300.2857;1.0;4.1475;0.5;525.5;2102.0;11.1;0.4286;0.4286;0.4286;0.4286;0.4286;0.4286;22;1
16;76;4.41;157.9474;181.6316;0.9079;3.9898;0.8286;262.7797;13804.0;12.2;0.4211;0.5658;0.4211;0.5658;0.2895;0.6974;22;1
17;16;4.19;168.8125;252.125;0.9375;4.3145;0.625;436.5455;4034.0;12.1;0.375;0.5625;0.375;0.5625;0.3125;0.625;22;1
