;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;8.1;False;False;3.31;6.66;;;;0
1;8.2;False;False;4.41;5.24;;;;0
2;7.2;False;False;7.7;8.4;;;;0
3;7.1;False;True;4.14;0.0;;;;0
4;19.2;False;False;1.34;4.88;;;;0
5;19.1;False;False;6.27;7.09;;;;0
6;26.1;False;False;5.01;8.0;;;;0
7;26.2;False;True;3.12;2.33;;;;0
8;24.2;False;True;19.85;8.09;;;;0
9;24.1;False;True;16.54;13.86;;;;0
10;10.1;False;False;10.68;13.18;;;;0
11;10.2;False;True;11.08;5.11;;;;0
12;9.2;False;True;13.43;2.06;;;;0
13;9.1;False;False;23.14;28.94;;;;0
14;11.2;False;True;7.46;1.22;;;;0
15;11.1;False;True;8.58;1.24;;;;0
16;12.2;False;False;11.82;12.12;;;;0
17;12.1;False;True;16.08;5.35;;;;0
18;22.1;False;True;8.55;4.89;;;;0
19;22.2;False;True;0.49;0.2;;;;0
20;23.2;False;False;1.41;4.92;;;;0
21;23.1;False;False;3.18;4.03;;;;0
22;28.1;False;False;29.58;33.11;;;;0
23;28.2;False;False;7.52;12.0;;;;0
24;6.1;False;True;5.52;4.03;;;;0
25;6.2;False;False;3.7;4.19;;;;0
26;29.2;False;False;3.91;29.54;;;;0
27;29.1;False;True;0.65;0.32;;;;0
28;1.2;False;False;7.44;8.52;;;;0
29;1.1;False;True;1.81;1.47;;;;0
30;18.1;False;True;0.93;0.65;;;;0
31;18.2;False;False;1.38;7.92;;;;0
32;30.2;False;False;29.46;32.12;;;;0
33;30.1;False;True;6.38;5.1;;;;0
34;14.2;False;False;8.25;23.25;;;;0
35;14.1;False;False;13.11;21.97;;;8.65;2
36;5.1;False;True;5.2;4.85;;;;0
37;5.2;False;False;6.53;10.64;;;;0
38;2.2;False;False;4.98;6.92;;;;0
39;2.1;False;False;26.55;29.9;;;;0
40;3.2;False;False;2.38;8.38;;;;0
41;3.1;False;False;6.19;9.46;;;;0
42;16.1;False;False;5.33;5.95;;;;0
43;16.2;False;False;4.53;5.02;;;;0
44;21.1;False;False;8.3;10.38;;;;0
45;21.2;False;True;7.19;6.59;;;;0
46;25.2;False;False;7.77;13.78;;;;0
47;25.1;False;False;10.67;12.84;;;;0
48;17.2;False;True;4.63;4.32;;;;0
49;17.1;False;True;7.44;0.32;;;;0
50;15.1;False;True;1.74;0.0;;;;0
51;15.2;False;False;5.74;6.9;;;;0
52;13.2;False;False;6.03;11.41;;;;0
53;13.1;False;False;0.0;4.97;;;;0
54;20.1;False;False;13.05;15.06;;;12.27;1
55;20.2;False;True;8.81;7.96;;;;0
56;4.2;False;True;13.59;13.19;;;;0
57;4.1;False;False;2.99;6.7;;;;0
58;27.1;False;True;7.46;4.95;;;;0
59;27.2;False;False;10.37;12.31;;;6.7;1
60;8.0;False;False;2.12;;;;;0
61;7.0;False;False;1.25;3.33;;;;0
62;19.0;False;True;6.29;3.72;;;;0
63;26.0;False;False;7.35;10.47;;;;0
64;24.0;False;False;2.25;3.01;;;;0
65;10.0;False;True;14.19;8.68;;;;0
66;9.0;False;True;16.58;9.04;;;;0
67;11.0;False;True;4.47;0.21;;;;0
68;12.0;False;True;9.75;3.54;;;;0
69;22.0;False;True;13.07;2.34;;;;0
70;23.0;False;True;8.94;7.12;;;;0
71;28.0;False;False;0.23;2.49;;;;0
72;6.0;False;True;4.45;1.98;;;;0
73;29.0;False;True;2.32;1.89;;;;0
74;1.0;False;False;2.17;7.03;;;;0
75;18.0;False;False;1.22;2.8;;;;0
76;30.0;False;False;1.49;2.99;;;;0
77;14.0;False;False;3.99;8.17;;;;0
78;5.0;False;False;0.37;8.54;;;;0
79;2.0;False;False;4.22;21.99;;;;0
80;3.0;False;True;4.8;3.81;;;;0
81;16.0;False;True;5.61;2.61;;;;0
82;21.0;False;True;3.38;1.18;;;;0
83;25.0;False;True;5.66;1.47;;;;0
84;17.0;False;False;0.62;4.57;;;;0
85;15.0;False;True;5.35;3.12;;;;0
86;13.0;False;True;5.65;0.53;;;;0
87;20.0;False;True;3.85;1.69;;;;0
88;4.0;False;True;2.99;1.15;;;;0
89;27.0;False;False;0.24;5.76;;;;0
