;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;14.2;False;False;8.27;10.3;;;;0
1;14.1;False;False;6.33;8.86;;;;0
2;16.1;False;False;10.48;18.78;;;;0
3;16.2;False;True;3.03;2.56;;;;0
4;20.2;False;False;4.18;8.33;;;;0
5;20.1;False;False;3.7;4.34;;;;0
6;23.1;False;True;19.58;19.01;;;4.2;1
7;23.2;False;False;2.75;192.3;;;;0
8;27.2;False;False;5.76;7.13;;;;0
9;27.1;False;False;3.25;4.82;;;;0
10;8.2;False;True;10.36;2.47;;;;0
11;8.1;False;False;2.8;4.46;;;;0
12;10.2;False;True;5.14;4.68;;;;0
13;10.1;False;True;8.77;7.48;;;;0
14;29.2;False;False;1.58;6.4;;;;0
15;29.1;False;False;1.48;22.72;;;;0
16;15.1;False;False;2.5;2.94;;;;0
17;15.2;False;False;8.57;19.9;;;;0
18;2.2;False;False;4.67;6.43;;;;0
19;2.1;False;False;27.03;29.98;;;;0
20;19.1;False;False;9.04;30.96;;;;0
21;19.2;False;False;3.31;8.28;;;;0
22;3.2;False;False;2.33;12.26;;;;0
23;3.1;False;False;6.18;9.51;;;;0
24;11.1;False;True;3.8;1.5;;;;0
25;11.2;False;True;4.53;2.7;;;;0
26;7.1;False;False;1.1;12.74;;;;0
27;7.2;False;False;12.03;14.7;;;;0
28;22.2;False;False;2.51;4.53;;;;0
29;22.1;False;False;9.85;11.8;;;;0
30;13.2;False;False;5.4;5.96;;;;0
31;13.1;False;False;1.78;2.52;;;;0
32;5.2;False;False;7.13;22.44;;;;0
33;5.1;False;False;7.32;9.13;;;;0
34;9.1;False;True;34.98;30.58;;;;0
35;9.2;False;False;9.91;10.08;;;;0
36;1.1;False;False;1.34;5.29;;;;0
37;1.2;False;True;5.67;5.51;;;;0
38;24.2;False;False;6.28;27.91;;;;0
39;24.1;False;False;11.05;27.56;;;;0
40;30.1;False;False;9.65;18.28;;;;0
41;30.2;False;False;22.42;39.18;;;;0
42;17.1;False;True;2.36;0.0;;;;0
43;17.2;False;False;4.48;4.94;;;;0
44;4.2;False;False;15.19;17.12;;;;0
45;4.1;False;True;6.12;5.04;;;;0
46;21.1;False;False;7.92;38.28;;;;0
47;21.2;False;False;5.93;25.31;;;;0
48;26.1;False;True;6.69;2.72;;;;0
49;26.2;False;False;6.71;7.67;;;;0
50;12.2;False;False;9.92;24.77;;;;0
51;12.1;False;True;7.31;2.63;;;;0
52;18.2;False;True;3.36;0.0;;;;0
53;18.1;False;False;0.62;1.04;;;;0
54;6.2;False;True;7.07;5.74;;;;0
55;6.1;False;False;5.15;9.3;;;;0
56;25.1;False;False;7.21;9.45;;;;0
57;25.2;False;True;6.78;5.82;;;;0
58;28.2;False;False;5.0;42.83;;;;0
59;28.1;False;False;30.05;31.58;;;;0
60;14.0;False;False;18.28;;;;;0
61;16.0;False;True;3.36;3.03;;;;0
62;20.0;False;True;0.81;0.65;;;;0
63;23.0;False;True;6.61;1.05;;;;0
64;27.0;False;False;24.62;205.01;;;13.38;1
65;8.0;False;True;5.55;2.73;;;;0
66;10.0;False;False;3.38;9.18;;;;0
67;29.0;False;True;9.4;4.86;;;;0
68;15.0;False;False;6.26;27.35;;;;0
69;2.0;False;True;4.39;2.1;;;;0
70;19.0;False;True;14.61;11.65;;;;0
71;3.0;False;True;8.68;1.62;;;;0
72;11.0;False;True;6.63;1.1;;;;0
73;7.0;False;True;24.58;20.34;;;;0
74;22.0;False;True;9.89;0.43;;;;0
75;13.0;False;True;20.44;14.34;;;;0
76;5.0;False;True;12.23;1.22;;;;0
77;9.0;False;True;6.01;1.36;;;;0
78;1.0;False;True;13.25;3.08;;;;0
79;24.0;False;True;17.06;5.16;;;;0
80;30.0;False;False;7.08;45.13;;;;0
81;17.0;False;True;20.08;2.61;;;;0
82;4.0;False;True;14.17;1.35;;;;0
83;21.0;False;True;8.57;0.76;;;;0
84;26.0;False;True;15.91;0.5;;;;0
85;12.0;False;True;16.02;1.1;;;;0
86;18.0;False;True;19.04;1.45;;;;0
87;6.0;False;True;12.62;4.82;;;;0
88;25.0;False;True;20.82;0.64;;;;0
89;28.0;False;True;10.06;0.0;;;;0
