;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session
38;110;4.23;113.4545;116.7091;0.5182;2.8087;0.8793;251.3148;12838.0;24.2;0.3545;0.6364;0.3636;0.6273;0.3182;0.6727;20;1
39;106;4.65;78.5755;94.9151;0.5094;2.8633;0.8364;236.7556;10061.0;24.1;0.3396;0.6509;0.3302;0.6604;0.3302;0.6604;20;1
40;53;4.98;100.0377;166.7358;0.717;3.024;0.7179;359.1154;8837.0;30.1;0.3962;0.5849;0.3774;0.6038;0.3585;0.6226;20;1
41;41;4.0;49.6341;49.6341;0.2439;2.942;0.7273;226.9;2035.0;30.2;0.1951;0.7805;0.1951;0.7805;0.1707;0.8049;20;1
42;2;9.5;200.0;554.0;2.0;3.085;0.2;704.0;1108.0;17.1;0.5;0.0;0.0;0.5;0.5;0.0;20;1
43;35;5.66;93.2286;102.7429;0.5714;2.9328;0.8571;199.7778;3596.0;17.2;0.3429;0.6286;0.3714;0.6;0.2857;0.6857;20;1
44;101;5.11;74.4554;87.0;0.4455;2.8262;0.8261;375.2895;8787.0;4.2;0.3168;0.6733;0.3168;0.6733;0.2871;0.703;20;1
45;82;4.55;61.0488;63.0732;0.378;2.9333;0.9062;184.6;5172.0;4.1;0.2927;0.6951;0.2927;0.6951;0.2561;0.7317;20;1
46;55;4.0;63.7818;63.7818;0.3091;2.9218;0.8889;206.3529;3508.0;21.1;0.2364;0.7455;0.2364;0.7455;0.2364;0.7455;20;1
47;136;4.16;58.6103;62.2941;0.3235;2.8051;0.8889;216.4146;8472.0;21.2;0.25;0.7426;0.25;0.7426;0.2353;0.7574;20;1
48;21;5.0;104.619;109.381;0.6667;2.88;0.7333;204.8462;2297.0;26.1;0.4762;0.4762;0.4286;0.5238;0.3333;0.619;20;1
49;85;4.95;89.3294;95.6118;0.5059;2.8233;0.8182;229.85;8127.0;26.2;0.3647;0.6235;0.3647;0.6235;0.3059;0.6824;20;1
50;76;4.41;108.6184;113.8816;0.5658;2.7834;0.9091;211.0976;8655.0;12.2;0.4079;0.5789;0.4079;0.5789;0.3421;0.6447;20;1
51;16;4.19;58.375;58.375;0.375;2.89;0.7143;155.6667;934.0;12.1;0.375;0.5625;0.375;0.5625;0.3125;0.625;20;1
52;7;3.71;99.8571;123.7143;0.4286;2.93;0.25;433.0;866.0;18.2;0.2857;0.5714;0.2857;0.5714;0.2857;0.5714;20;1
53;8;4.88;87.375;154.125;0.75;3.0367;0.1429;544.0;1233.0;18.1;0.375;0.5;0.375;0.5;0.375;0.5;20;1
54;57;4.12;87.7193;91.2456;0.5439;2.9045;0.8438;193.1034;5201.0;6.2;0.3509;0.6316;0.3684;0.614;0.3158;0.6667;20;1
55;58;3.9;96.1552;108.2241;0.5345;2.8541;0.8438;232.4815;6277.0;6.1;0.4138;0.569;0.3966;0.5862;0.3448;0.6379;20;1
56;120;4.68;114.7417;135.8583;0.6;2.8109;0.8219;290.2931;16303.0;25.1;0.3917;0.6;0.3833;0.6083;0.3417;0.65;20;1
57;116;4.3;67.8017;79.0259;0.3793;2.7892;0.8;247.7568;9167.0;25.2;0.3017;0.6897;0.2931;0.6983;0.2672;0.7241;20;1
58;28;3.18;101.25;104.8214;0.5;2.9046;0.6667;259.1538;2935.0;28.2;0.3571;0.6071;0.3571;0.6071;0.3214;0.6429;20;1
59;73;4.6;77.6575;94.0685;0.5205;2.8259;0.8462;253.3667;6867.0;28.1;0.3288;0.6575;0.3151;0.6712;0.274;0.7123;20;1
60;10;4.6;213.3;449.9;1.8;3.1667;0.4737;633.1111;4499.0;14.0;0.5;0.4;0.4;0.5;0.4;0.5;20;1
