;Mistral-7B-v0.1;Mistral-7B-Instruct-v0.1;llava-1.5-13b-hf;Meta-Llama-3-8B-Instruct;bert-large-uncased;Meta-Llama-3-8B;roberta-large;Llama-2-7b-chat-hf;Llama-2-7b-hf;bert-base-uncased;roberta-base;llava-1.5-7b-hf
mean;0.4221939359909383;0.426083748849588;0.3498340297137096;0.3890543513856382;0.6694082571664138;0.396804662223827;0.6157969844169513;0.4563930596967691;0.4732618197837211;0.650872634674324;0.5676188095054303;0.3196779661286115
std;0.1892512542978743;0.2231570346457461;0.1837993387032733;0.1969569334003187;0.1069211916983495;0.1969387385187896;0.1319423524186924;0.1684126519374105;0.1688590646172791;0.1321997392608169;0.1580553704942273;0.1940988170101225
