;Mistral-7B-v0.1;Mistral-7B-Instruct-v0.1;llava-1.5-13b-hf;Meta-Llama-3-8B-Instruct;bert-large-uncased;Meta-Llama-3-8B;roberta-large;Llama-2-7b-chat-hf;Llama-2-7b-hf;bert-base-uncased;roberta-base;llava-1.5-7b-hf
mean;0.3917192963392844;0.3999482828459467;0.3269122959210312;0.36039129553737;0.6292596110858112;0.3683934426293412;0.5719103764371164;0.4248743274789416;0.4428742614216278;0.6108708093366241;0.5265716973522891;0.2946491695620311
std;0.2108055300915125;0.2314643936720947;0.179765020909169;0.2131533870756781;0.115099891079296;0.2134868010784633;0.1478993041872564;0.1705721979369744;0.1641258329317458;0.1454598434746641;0.171203917384992;0.1943675121887268
