;Mistral-7B-v0.1;Mistral-7B-Instruct-v0.1;llava-1.5-13b-hf;Meta-Llama-3-8B-Instruct;bert-large-uncased;Meta-Llama-3-8B;roberta-large;Llama-2-7b-chat-hf;Llama-2-7b-hf;bert-base-uncased;roberta-base;llava-1.5-7b-hf
mean;0.4776500512564656;0.4833755265146984;0.364574610019983;0.4465028222640116;0.675823427629631;0.4528271760741105;0.62904216235597;0.4874814936821298;0.5097671726854472;0.6701119037068963;0.5862318252990857;0.3352661424803241
std;0.1708124343374376;0.1767025643133403;0.1950659389843217;0.1771454243518171;0.106091648647548;0.1791102963774204;0.1166613097351486;0.1691826947981874;0.1529811628449782;0.1050802271125748;0.1351492296222144;0.2041865986550042
