;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session;discarted
0;21.0;5.0;159.5714;244.4762;0.9048;2.2723;0.6;585.3077;5134.0;26.1;0.381;0.5714;0.3333;0.619;0.2381;0.7143;19;1;
1;85.0;4.95;86.1647;109.6;0.5412;2.175;0.7872;323.0588;9316.0;26.2;0.2941;0.6941;0.2824;0.7059;0.2235;0.7647;19;1;
2;39.0;4.72;126.0769;182.7179;0.7436;2.1635;0.6333;535.8947;7126.0;3.2;0.3846;0.5897;0.3333;0.641;0.359;0.6154;19;1;
3;108.0;4.56;80.2963;127.9722;0.6481;2.1559;0.662;371.5581;13821.0;3.1;0.2963;0.6944;0.2963;0.6944;0.2593;0.7315;19;1;
4;30.0;4.3;84.0667;101.8333;0.4333;2.2427;0.6429;326.1818;3055.0;2.2;0.2667;0.7;0.2667;0.7;0.1333;0.8333;19;1;
5;41.0;4.32;47.9756;68.9268;0.2927;2.178;0.6154;326.7;2826.0;2.1;0.1707;0.8049;0.1707;0.8049;0.1707;0.8049;19;1;
6;101.0;4.92;82.5842;111.3069;0.5248;2.1458;0.7222;338.1;11242.0;14.2;0.3168;0.6733;0.3267;0.6634;0.2871;0.703;19;1;
7;112.0;5.06;89.2768;121.875;0.5893;2.1607;0.7015;324.6596;13650.0;14.1;0.3036;0.6875;0.3214;0.6696;0.2679;0.7232;19;1;
8;59.0;4.58;96.8475;117.1356;0.5593;2.1823;0.7059;372.1154;6911.0;9.2;0.339;0.6441;0.339;0.6441;0.2712;0.7119;19;1;
9;74.0;4.62;84.2162;118.4324;0.5676;2.1263;0.6047;399.8889;8764.0;9.1;0.2703;0.7162;0.2838;0.7027;0.2162;0.7703;19;1;
10;34.0;3.79;85.8235;95.6176;0.3529;2.1873;0.6154;363.0;3251.0;20.2;0.2941;0.6765;0.2941;0.6765;0.2941;0.6765;19;1;
11;89.0;4.64;87.382;96.4719;0.4719;2.1348;0.7907;245.3143;8586.0;20.1;0.3258;0.6629;0.3258;0.6629;0.3146;0.6742;19;1;
12;76.0;4.41;69.6842;90.3947;0.4737;2.1332;0.7027;255.2759;6870.0;12.2;0.3421;0.6447;0.3158;0.6711;0.3158;0.6711;19;1;
13;16.0;4.19;106.8125;119.3125;0.5625;2.1743;0.6;367.875;1909.0;12.1;0.4375;0.5;0.375;0.5625;0.25;0.6875;19;1;
14;15.0;5.07;109.6;109.6;0.4667;2.1914;0.75;234.8571;1644.0;11.2;0.3333;0.6;0.3333;0.6;0.3333;0.6;19;1;
15;7.0;5.29;172.5714;429.7143;0.5714;2.22;0.4;1002.6667;3008.0;11.1;0.2857;0.5714;0.2857;0.5714;0.2857;0.5714;19;1;
16;16.0;4.62;101.5625;170.8125;0.9375;2.204;0.5;341.625;2733.0;8.2;0.375;0.5625;0.3125;0.625;0.3125;0.625;19;1;
17;30.0;4.3;113.2667;169.3333;0.7667;2.1853;0.5417;474.3125;5080.0;8.1;0.3667;0.6;0.3333;0.6333;0.3333;0.6333;19;1;
18;2.0;5.5;403.5;687.0;1.5;2.25;0.25;687.0;1374.0;7.1;0.0;0.5;0.0;0.5;0.0;0.5;19;1;
19;47.0;4.43;69.8936;72.7234;0.383;2.1935;0.7368;236.8235;3418.0;7.2;0.2766;0.7021;0.2766;0.7021;0.2553;0.7234;19;1;
20;115.0;4.5;68.4348;92.6174;0.487;2.1247;0.6667;335.9;10651.0;19.1;0.2957;0.6957;0.287;0.7043;0.2783;0.713;19;1;
21;19.0;3.89;81.6316;147.8421;0.5789;2.2022;0.6667;312.1111;2809.0;19.2;0.2632;0.6842;0.2105;0.7368;0.2632;0.6842;19;1;
22;106.0;4.65;72.7925;99.5283;0.4906;2.1214;0.717;296.9;10550.0;24.1;0.3019;0.6887;0.2736;0.717;0.2547;0.7358;19;1;
23;110.0;4.23;76.5273;93.4091;0.5273;2.1288;0.7119;254.234;10275.0;24.2;0.3182;0.6727;0.3091;0.6818;0.2818;0.7091;19;1;
24;2.0;9.5;166.5;166.5;1.0;2.3;0.0;299.5;333.0;17.1;0.0;0.5;0.0;0.5;0.0;0.5;19;1;
25;35.0;5.66;30.2571;58.0857;0.3143;2.1733;0.25;505.5;2033.0;17.2;0.1143;0.8571;0.1143;0.8571;0.1143;0.8571;19;1;
26;7.0;3.71;203.7143;319.1429;1.0;2.175;0.125;800.4;2234.0;18.2;0.5714;0.2857;0.5714;0.2857;0.4286;0.4286;19;1;
27;8.0;4.88;92.625;256.25;1.375;2.255;0.5;597.5;2050.0;18.1;0.625;0.25;0.375;0.5;0.375;0.5;19;1;
28;55.0;4.58;87.4182;92.2727;0.4727;2.1696;0.7778;251.32;5075.0;5.2;0.3455;0.6364;0.3273;0.6545;0.2545;0.7273;19;1;
29;89.0;4.3;77.4944;121.2135;0.5506;2.16;0.66;355.7353;10788.0;5.1;0.2921;0.6966;0.2921;0.6966;0.2584;0.7303;19;1;
30;3.0;5.0;155.6667;155.6667;0.6667;2.185;0.3333;233.5;467.0;29.1;0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;19;1;
31;14.0;6.0;117.8571;209.5714;1.0;2.1875;0.3333;629.375;2934.0;29.2;0.4286;0.5;0.3571;0.5714;0.4286;0.5;19;1;
32;66.0;5.61;90.3939;137.3485;0.5909;2.1396;0.675;358.5714;9065.0;15.2;0.2576;0.7273;0.2727;0.7121;0.2121;0.7727;19;1;
