;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session;discarted
0;89.0;4.3;155.7978;218.0;0.8876;3.4362;0.7125;438.7143;19402.0;5.1;0.4494;0.5393;0.4719;0.5169;0.3483;0.6404;16;1;
1;55.0;4.58;150.2909;315.7818;1.1273;3.3797;0.6032;703.3;17368.0;5.2;0.4;0.5818;0.4;0.5818;0.3273;0.6545;16;1;
2;21.0;5.0;184.1905;360.4286;1.5238;3.41;0.7273;632.9375;7569.0;26.1;0.5714;0.381;0.5238;0.4286;0.4286;0.5238;16;1;
3;85.0;4.95;169.0706;228.5882;0.9529;3.3033;0.7439;370.069;19430.0;26.2;0.4471;0.5412;0.4;0.5882;0.3647;0.6235;16;1;
4;106.0;4.65;143.1321;289.0755;1.0849;3.3425;0.6466;580.3898;30642.0;24.1;0.3396;0.6509;0.3302;0.6604;0.2736;0.717;16;1;
5;110.0;4.23;135.1909;253.6909;1.0;4.1441;0.7387;526.5172;27906.0;24.2;0.3818;0.6091;0.3727;0.6182;0.3091;0.6818;16;1;
6;35.0;5.66;159.0857;201.0286;0.9143;4.4208;0.6667;353.48;7036.0;17.2;0.4857;0.4857;0.4286;0.5429;0.3143;0.6571;16;1;
7;2.0;9.5;250.0;1234.0;4.5;4.545;0.2;1234.0;2468.0;17.1;0.0;0.5;0.5;0.0;0.0;0.5;16;1;
8;120.0;4.68;142.5917;245.325;1.0333;3.9949;0.688;501.8451;29439.0;25.1;0.375;0.6167;0.35;0.6417;0.2917;0.7;16;1;
9;116.0;4.3;131.5776;188.5;0.7069;3.2528;0.7108;448.4737;21866.0;25.2;0.319;0.6724;0.319;0.6724;0.2328;0.7586;16;1;
10;76.0;4.41;156.1053;349.6711;1.2763;3.2105;0.6735;724.2558;26575.0;12.2;0.3816;0.6053;0.3421;0.6447;0.3026;0.6842;16;1;
11;16.0;4.19;189.625;258.375;0.875;3.221;0.6667;466.7;4134.0;12.1;0.25;0.6875;0.375;0.5625;0.1875;0.75;16;1;
12;82.0;4.55;156.9024;254.9024;0.8902;3.1744;0.7297;537.0222;20902.0;4.1;0.3659;0.622;0.4024;0.5854;0.3171;0.6707;16;1;
13;101.0;5.11;127.7624;182.7624;0.7525;3.2202;0.7403;396.7407;18459.0;4.2;0.3564;0.6337;0.3663;0.6238;0.2772;0.7129;16;1;
14;101.0;4.92;145.5446;203.7129;0.7921;3.1843;0.7284;431.0893;20575.0;14.2;0.3762;0.6139;0.3564;0.6337;0.297;0.6931;16;1;
15;112.0;5.06;148.1875;246.1161;0.7946;3.1693;0.7222;532.7143;27565.0;14.1;0.3839;0.6071;0.375;0.6161;0.3214;0.6696;16;1;
16;7.0;5.29;190.7143;576.8571;2.0;3.3675;0.6;1009.5;4038.0;11.1;0.4286;0.4286;0.4286;0.4286;0.2857;0.5714;16;1;
