;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;5.1;False;True;16.5;11.46;;;;0
1;5.2;False;False;19.26;24.05;;;;0
2;26.1;False;True;24.09;11.77;;;;0
3;26.2;False;True;18.11;9.12;;;;0
4;24.1;False;False;16.37;18.03;;;;0
5;24.2;False;True;17.09;13.64;;;;0
6;17.2;False;True;23.47;9.94;;;;0
7;17.1;False;False;19.08;199.33;;;;0
8;25.1;False;False;15.23;20.66;;;;0
9;25.2;False;False;22.21;27.63;;;;0
10;12.2;False;False;22.15;83.2;;;;0
11;12.1;False;False;23.99;148.75;;;;0
12;4.1;False;False;19.39;38.65;;;;0
13;4.2;False;False;21.47;57.22;;;;0
14;14.2;False;False;19.11;33.06;;;;0
15;14.1;False;False;21.81;41.51;;;;0
16;11.1;False;False;14.95;107.98;;;;0
17;11.2;False;True;20.96;9.74;;;;0
18;15.2;False;True;27.29;20.42;;;;0
19;15.1;False;False;24.83;138.09;;;;0
20;18.2;False;False;15.51;38.58;;;;0
21;18.1;False;False;15.84;69.48;;;;0
22;16.1;False;False;27.75;177.51;;;;0
23;16.2;False;False;24.26;127.26;;;;0
24;21.2;False;False;22.44;33.82;;;;0
25;21.1;False;False;22.92;76.66;;;;0
26;7.1;False;False;18.98;264.9;;;;0
27;7.2;False;False;24.53;29.75;;;;0
28;2.2;False;False;17.16;17.59;;;;0
29;2.1;False;False;44.24;118.9;;;;0
30;27.1;False;False;22.17;33.85;;;;0
31;27.2;False;False;23.41;62.66;;;;0
32;6.1;False;False;25.01;27.45;;;;0
33;6.2;False;False;23.44;45.39;;;;0
34;13.1;False;False;24.13;95.59;;;;0
35;13.2;False;False;25.37;29.7;;;;0
36;29.2;False;False;15.55;136.34;;;;0
37;29.1;False;False;17.08;127.89;;;;0
38;19.2;False;False;6.71;83.32;;;;0
39;19.1;False;False;16.72;24.8;;;;0
40;10.2;False;False;19.84;71.86;;;;0
41;10.1;False;False;23.15;34.58;;;;0
42;9.1;False;False;27.33;47.73;;;;0
43;9.2;False;False;31.33;85.99;;;;0
44;22.1;False;False;27.05;62.99;;;;0
45;22.2;False;False;14.23;152.17;;;;0
46;20.1;False;False;23.16;47.38;;;;0
47;20.2;False;False;19.51;164.53;;;;0
48;23.2;False;False;17.8;112.4;;;;0
49;23.1;False;False;25.37;59.1;;;;0
50;3.2;False;False;22.25;54.95;;;;0
51;3.1;False;False;22.68;33.61;;;;0
52;1.2;False;False;20.18;30.82;;;;0
53;1.1;False;False;10.82;51.09;;;;0
54;30.2;False;False;38.27;51.83;;;;0
55;30.1;False;False;24.25;95.01;;;;0
56;8.2;False;False;13.31;37.92;;;;0
57;8.1;False;False;22.73;81.69;;;;0
58;28.1;False;False;28.91;41.05;;;;0
59;28.2;False;False;27.68;119.77;;;;0
60;5.0;False;False;36.78;;;;11.63;1
61;26.0;False;False;3.44;7.57;;;;0
62;24.0;False;False;7.53;19.2;;;;0
63;17.0;False;False;2.21;14.76;;;;0
64;25.0;False;False;8.89;152.47;;;;0
65;12.0;False;False;3.6;66.36;;;;0
66;4.0;False;False;1.76;108.24;;;;0
67;14.0;False;False;20.35;79.72;;;13.2;1
68;11.0;False;False;4.3;44.76;;;;0
69;15.0;False;False;6.46;13.35;;;;0
70;18.0;False;False;8.98;97.94;;;;0
71;16.0;False;True;23.75;20.69;;;;0
72;21.0;False;False;5.99;136.67;;;;0
73;7.0;False;False;3.35;96.67;;;;0
74;2.0;False;False;6.22;79.45;;;;0
75;27.0;False;False;4.24;98.3;;;;0
76;6.0;False;False;18.99;56.01;;;10.0;1
77;13.0;False;False;2.59;62.62;;;;0
78;29.0;False;False;1.84;30.44;;;;0
79;19.0;False;False;10.38;97.27;;;;0
80;10.0;False;False;3.03;15.47;;;;0
81;9.0;False;False;3.15;6.32;;;;0
82;22.0;False;False;0.39;150.43;;;;0
83;20.0;False;False;1.74;110.97;;;;0
84;23.0;True;False;;;;;;0
85;3.0;False;False;3.72;87.44;;;;0
86;1.0;False;False;3.33;28.01;;;;0
87;30.0;False;False;0.89;19.66;;;;0
88;8.0;True;False;;;;;;0
89;28.0;False;False;1.46;78.08;;;;0
