;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;What;580;770;629;786;778.0;;1;[np.float64(4663.0), np.float64(4671.0)];[np.float64(0.0), np.float64(0.0)];401.0;134.0;2;2.9314;3.1525;59.28087921142583;3.04;200.5;134.0
1;1;is;637;770;650;786;778.0;0.0;1;[np.float64(4669.0)];[np.float64(0.0)];167.0;167.0;1;2.9136;3.1892;38.28087921142583;3.05;167.0;167.0
2;2;the;658;770;687;786;778.0;0.0;1;[np.float64(4664.0), np.float64(4672.0)];[np.float64(3.043854618072487), np.float64(1.2808792114258267)];200.0;100.0;2;2.9399;3.1469;1.2808792114258267;3.04;100.0;100.0
3;3;quote;695;771;748;790;780.5;2.5;1;[np.float64(4670.0)];[np.float64(7.574702155707107)];67.0;67.0;1;2.9315;3.2241;6.719120788574173;3.08;67.0;434.0
4;4;written;755;770;818;786;778.0;2.5;1;[np.float64(4665.0), np.float64(4666.0)];[np.float64(2.429722554343016), np.float64(2.078352560315807)];467.0;233.0;2;2.9154;3.1118;66.71912078857417;3.01;233.5;467.0
5;5;in;827;770;841;786;778.0;0.0;1;[];[];0.0;0.0;0;;;138.71912078857417;;;
6;6;the;849;770;878;786;778.0;0.0;1;[];[];0.0;0.0;0;;;160.71912078857417;;;
7;7;image?;887;770;955;790;780.0;2.0;1;[np.float64(4667.0), np.float64(4668.0)];[np.float64(5.8729518890379495), np.float64(3.866861248016221)];300.0;200.0;2;2.9235;3.1755;198.71912078857417;3.05;150.0;901.0
