;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;The;257;383;293;398;390.5;;1;[];[];0.0;0.0;0;;;389.1715313248776;;;
1;1;purpose;302;387;378;402;394.5;4.0;1;[np.float64(981.0)];[np.float64(0.0)];100.0;100.0;1;2.9604;3.2357;305.8042301811979;3.1;100.0;100.0
2;2;of;386;383;404;398;390.5;4.0;1;[];[];0.0;0.0;0;;;279.5098912359774;;;
3;3;the;410;383;440;398;390.5;0.0;1;[np.float64(982.0)];[np.float64(0.0)];200.0;200.0;1;3.0272;3.2155;244.20380368209095;3.12;200.0;200.0
4;4;Om;448;383;480;399;391.0;0.5;1;[];[];0.0;0.0;0;;;205.25774147959655;;;
5;5;chanting;488;383;569;402;392.5;1.5;1;[np.float64(983.0)];[np.float64(0.0)];133.0;133.0;1;3.0395;3.2693;121.09358139400106;3.15;133.0;133.0
6;6;mentioned;578;383;676;398;390.5;2.0;1;[np.float64(984.0), np.float64(1009.0)];[np.float64(0.0), np.float64(51.121714460421614)];767.0;200.0;2;3.1128;3.387;51.121714460421614;3.25;383.5;200.0
7;7;in;685;383;699;398;390.5;0.0;1;[np.float64(985.0), np.float64(1000.0)];[np.float64(0.0), np.float64(0.0)];467.0;200.0;2;3.0553;3.3327;51.418472341039134;3.19;233.5;200.0
8;8;the;707;383;736;398;390.5;0.0;1;[];[];0.0;0.0;0;;;58.31160077860344;;;
9;9;image;745;383;801;402;392.5;2.0;1;[np.float64(986.0), np.float64(1001.0)];[np.float64(0.0), np.float64(0.0)];167.0;67.0;2;3.0808;3.3316;83.58662186403822;3.21;83.5;67.0
10;10;is;810;383;823;398;390.5;2.0;1;[np.float64(987.0)];[np.float64(1.33702859878548)];167.0;167.0;1;3.0613;3.2975;140.77106502921748;3.18;167.0;167.0
11;11;to;831;384;849;398;391.0;0.5;1;[np.float64(1002.0)];[np.float64(0.0)];167.0;167.0;1;3.1125;3.3753;160.84335262390624;3.24;167.0;167.0
12;12;meditate;857;383;938;399;391.0;0.0;1;[np.float64(988.0), np.float64(990.0), np.float64(991.0), np.float64(1003.0)];[np.float64(0.0), np.float64(15.358150482177734), np.float64(0.0), np.float64(0.0)];866.0;133.0;4;3.1176;3.3558;185.35750032640166;3.24;216.5;133.0
13;13;and;946;383;980;398;390.5;0.5;1;[np.float64(989.0), np.float64(992.0)];[np.float64(1.0474232264928105), np.float64(0.20540727887839694)];466.0;233.0;2;3.1577;3.3457;272.0226423384139;3.25;233.0;932.0
14;14;chant;988;383;1041;399;391.0;0.5;1;[np.float64(993.0), np.float64(1004.0)];[np.float64(3.4593887329101562), np.float64(0.0)];375.0;267.0;2;3.1538;3.394;313.3756895237752;3.27;187.5;267.0
15;15;deep;1048;383;1095;402;392.5;1.5;1;[np.float64(994.0)];[np.float64(3.5666067940846915)];234.0;234.0;1;3.1718;3.4118;372.70254472066193;3.29;234.0;234.0
16;16;mantra;1103;384;1168;399;391.5;1.0;1;[];[];0.0;0.0;0;;;427.37130749960653;;;
17;17;chants;1176;383;1239;399;391.0;0.5;1;[np.float64(995.0), np.float64(1005.0)];[np.float64(0.0), np.float64(0.0)];633.0;367.0;2;3.1319;3.354;499.8039250502828;3.24;316.5;367.0
18;18;for;1247;383;1273;399;391.0;0.0;1;[];[];0.0;0.0;0;;;570.4787632297654;;;
19;19;positive;656;465;728;485;475.0;84.0;2;[np.float64(996.0), np.float64(997.0), np.float64(998.0), np.float64(1006.0), np.float64(1007.0)];[np.float64(0.0), np.float64(27.228187561035156), np.float64(0.0), np.float64(0.0), np.float64(37.336119079589935)];866.0;100.0;5;3.0;3.3019;133.04445698681997;3.15;173.2;567.0
20;20;transformation.;736;466;879;481;473.5;1.5;2;[np.float64(999.0), np.float64(1008.0)];[np.float64(4.648247718811035), np.float64(0.0)];533.0;167.0;2;2.9929;3.2768;145.7349429819098;3.13;266.5;2574.0
