;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;The;284;179;320;194;186.5;;1;[];[];0.0;0.0;0;;;450.7213441391734;;;
1;1;quote;328;179;381;198;188.5;2.0;1;[3762];[np.float64(16.899807090626467)];167.0;167.0;1;2.8432;3.0386;400.65791458647567;2.94;167.0;167.0
2;2;"""Little";389;179;442;194;186.5;2.0;1;[];[];0.0;0.0;0;;;360.00127752679435;;;
3;3;things;449;179;506;198;188.5;2.0;1;[];[];0.0;0.0;0;;;317.4813017770638;;;
4;4;can;514;183;547;194;188.5;0.0;1;[3763];[np.float64(15.499230432510302)];167.0;167.0;1;2.8626;3.0047;300.2261052690711;2.93;167.0;167.0
5;5;grow;556;183;602;198;190.5;2.0;1;[3764];[np.float64(21.843885368464402)];233.0;233.0;1;2.9116;3.0955;275.9273515714717;3.0;233.0;233.0
6;6;"big""";610;179;644;198;188.5;2.0;1;[];[];0.0;0.0;0;;;266.72799090251306;;;
7;7;is;653;179;667;194;186.5;2.0;1;[];[];0.0;0.0;0;;;268.38893837865186;;;
8;8;significant;675;179;771;198;188.5;2.0;1;[3765];[np.float64(9.704838854925981)];234.0;234.0;1;2.9711;3.1567;263.9450526237488;3.06;234.0;234.0
9;9;because;780;179;860;194;186.5;2.0;1;[3766];[np.float64(15.566008536802473)];267.0;267.0;1;3.0362;3.2182;285.1570512987479;3.13;267.0;267.0
10;10;it;869;179;878;194;186.5;0.0;1;[];[];0.0;0.0;0;;;326.5012771414177;;;
11;11;emphasizes;886;179;1000;198;188.5;2.0;1;[3767];[np.float64(12.074336937495644)];233.0;233.0;1;3.0159;3.2077;333.3285449045376;3.11;233.0;233.0
12;12;the;1007;179;1037;194;186.5;2.0;1;[];[];0.0;0.0;0;;;420.88065782096584;;;
13;13;importance;1045;179;1150;198;188.5;2.0;1;[3768, 3769];[np.float64(0.724913120269747), np.float64(5.495886611938403)];267.0;100.0;2;3.0337;3.2092;448.46886390677184;3.12;133.5;267.0
14;14;of;1158;179;1176;194;186.5;2.0;1;[];[];0.0;0.0;0;;;545.8587765862134;;;
15;15;paying;1184;179;1245;198;188.5;2.0;1;[3770];[np.float64(0.0)];133.0;133.0;1;3.0049;3.2244;566.7802986575317;3.11;133.0;133.0
16;16;attention;270;261;352;276;268.5;80.0;2;[3771, 3772, 3773];[np.float64(10.108230471611023), np.float64(43.62799576643125), np.float64(18.167635560035706)];400.0;134.0;3;2.8985;3.2474;379.1559708370566;3.07;133.3333;400.0
17;17;to;360;261;377;276;268.5;0.0;2;[];[];0.0;0.0;0;;;357.57904400684055;;;
18;18;small;385;261;433;276;268.5;0.0;2;[3774];[np.float64(20.112772464752197)];166.0;166.0;1;2.8819;3.1351;311.1119783835161;3.01;166.0;166.0
19;19;details;442;261;503;276;268.5;0.0;2;[3775];[np.float64(16.321759700775146)];200.0;200.0;1;2.8755;3.0928;258.39993434554043;2.98;200.0;200.0
20;20;and;511;261;545;276;268.5;0.0;2;[3777];[np.float64(10.249019622802734)];100.0;100.0;1;2.8318;3.0823;231.2194711857636;2.96;100.0;100.0
21;21;considering;554;261;663;280;270.5;2.0;2;[3776, 3778];[np.float64(8.603989696502708), np.float64(6.904973066770026)];601.0;167.0;2;2.8405;3.0702;182.9795332656146;2.96;300.5;701.0
22;22;their;671;261;713;276;268.5;2.0;2;[];[];0.0;0.0;0;;;185.94505262374878;;;
23;23;potential;721;261;801;280;270.5;2.0;2;[3779];[np.float64(0.0)];267.0;267.0;1;2.8355;3.0568;185.98839150408813;2.95;267.0;267.0
24;24;impact.;810;261;877;280;270.5;0.0;2;[3780];[np.float64(0.0)];266.0;266.0;1;2.9301;3.1284;222.21211002971475;3.03;266.0;266.0
25;25;It;887;261;897;276;268.5;2.0;2;[];[];0.0;0.0;0;;;276.450052520396;;;
26;26;suggests;905;261;991;280;270.5;2.0;2;[3781];[np.float64(0.0)];166.0;166.0;1;2.9041;3.1196;287.4745333266712;3.01;166.0;166.0
27;27;that;999;261;1035;276;268.5;2.0;2;[3782];[np.float64(0.0)];266.0;266.0;1;2.9045;3.1263;367.1408616597293;3.02;266.0;266.0
28;28;seemingly;1043;261;1139;280;270.5;2.0;2;[];[];0.0;0.0;0;;;403.8750443691953;;;
29;29;insignificant;1147;261;1260;280;270.5;0.0;2;[3783, 3784];[np.float64(0.0), np.float64(0.5397162437438965)];300.0;200.0;2;2.9155;3.0681;498.92855703865314;2.99;150.0;300.0
30;30;occurrences;287;346;404;358;352.0;81.5;3;[3785, 3786, 3787, 3788];[np.float64(8.75657749176031), np.float64(53.810680389404354), np.float64(11.508424520492497), np.float64(2.514690160751286)];733.0;133.0;4;2.8109;3.134;297.1995766708336;2.97;183.25;733.0
31;31;or;413;346;431;358;352.0;0.0;3;[];[];0.0;0.0;0;;;272.06872783194723;;;
32;32;actions;438;342;506;358;350.0;2.0;3;[3789];[np.float64(6.481027984619118)];167.0;167.0;1;2.8438;3.0796;204.77294777010812;2.96;167.0;167.0
33;33;can;514;346;547;358;352.0;2.0;3;[3790];[np.float64(0.0)];267.0;267.0;1;2.8763;3.0959;170.72122605126103;2.99;267.0;267.0
34;34;have;557;342;602;358;350.0;2.0;3;[3791];[np.float64(0.0)];200.0;200.0;1;2.9119;3.1525;131.42863655096994;3.03;200.0;200.0
35;35;a;602;338;612;366;352.0;2.0;3;[];[];0.0;0.0;0;;;119.02005990692916;;;
36;36;significant;628;342;724;362;352.0;0.0;3;[3792, 3793];[np.float64(0.0), np.float64(2.2610757010322686)];433.0;200.0;2;2.947;3.21;99.94505262374878;3.08;216.5;433.0
37;37;impact;733;342;794;362;352.0;0.0;3;[3794, 3802];[np.float64(0.0), np.float64(27.903029918670654)];300.0;200.0;2;2.9881;3.2764;112.01064208315923;3.13;150.0;200.0
38;38;on;802;346;824;358;352.0;0.0;3;[];[];0.0;0.0;0;;;158.43505431970422;;;
