;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;What;477;770;526;786;778.0;;1;[np.float64(3500.0)];[np.float64(1.0013002668108584)];233.0;233.0;1;2.924;3.2025;468.4981002807617;3.06;233.0;233.0
1;1;is;535;770;548;786;778.0;0.0;1;[np.float64(3490.0)];[np.float64(0.9479934692383267)];166.0;166.0;1;2.8612;3.0577;446.4981002807617;2.96;166.0;166.0
2;2;the;556;770;584;786;778.0;0.0;1;[np.float64(3491.0)];[np.float64(6.908124657819408)];333.0;333.0;1;2.8092;2.9692;410.4981002807617;2.89;333.0;333.0
3;3;main;593;770;637;786;778.0;0.0;1;[np.float64(3493.0), np.float64(3501.0)];[np.float64(10.23813629986246), np.float64(0.0)];333.0;167.0;2;2.8529;3.0979;357.4981002807617;2.98;166.5;167.0
4;4;topic;645;770;690;790;780.0;2.0;1;[np.float64(3492.0)];[np.float64(0.39661693572998047)];134.0;134.0;1;2.7595;2.9265;304.4981002807617;2.84;134.0;301.0
5;5;of;698;770;715;786;778.0;2.0;1;[np.float64(3494.0), np.float64(3502.0)];[np.float64(2.5675711631774902), np.float64(0.0)];400.0;200.0;2;2.8641;3.0814;279.4981002807617;2.97;200.0;200.0
6;6;the;722;770;751;786;778.0;0.0;1;[];[];0.0;0.0;0;;;243.49810028076172;;;
7;7;report;760;771;814;790;780.5;2.5;1;[np.float64(3495.0), np.float64(3503.0)];[np.float64(0.0), np.float64(0.0)];501.0;234.0;2;2.9086;3.1257;180.49810028076172;3.02;250.5;234.0
8;8;mentioned;823;770;921;786;778.0;2.5;1;[np.float64(3496.0), np.float64(3497.0), np.float64(3504.0)];[np.float64(0.0), np.float64(0.0), np.float64(0.2921133041381836)];699.0;233.0;3;2.8557;3.1205;73.49810028076172;2.99;233.0;399.0
9;9;in;930;770;944;786;778.0;0.0;1;[];[];0.0;0.0;0;;;50.49810028076172;;;
10;10;the;952;770;981;786;778.0;0.0;1;[np.float64(3498.0)];[np.float64(0.0)];308.0;308.0;1;2.8655;3.0564;13.498100280761719;2.96;308.0;1474.0
11;11;image?;990;770;1058;790;780.0;2.0;1;[np.float64(3505.0)];[np.float64(0.0)];133.0;133.0;1;3.0586;3.3407;0.0;3.2;133.0;133.0
