;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;The;267;261;303;276;268.5;;1;[];[];0.0;0.0;0;;;541.9409315289112;;;
1;1;purpose;312;265;388;280;272.5;4.0;1;[np.float64(1041.0)];[np.float64(5.440674820963846)];100.0;100.0;1;3.066;3.3174;459.5865048052133;3.19;100.0;100.0
2;2;of;396;261;414;276;268.5;4.0;1;[];[];0.0;0.0;0;;;436.37722742889224;;;
3;3;the;420;261;450;276;268.5;0.0;1;[];[];0.0;0.0;0;;;402.76857640353245;;;
4;4;Om;458;261;490;276;268.5;0.0;1;[];[];0.0;0.0;0;;;365.9594923605561;;;
5;5;chanting;498;261;579;280;270.5;2.0;1;[np.float64(1042.0), np.float64(1043.0)];[np.float64(11.500007728580547), np.float64(11.283328533172607)];301.0;167.0;2;3.0824;3.3201;285.065807441915;3.2;150.5;301.0
6;6;in;588;261;602;276;268.5;2.0;1;[];[];0.0;0.0;0;;;267.8078732947665;;;
7;7;the;610;261;639;276;268.5;0.0;1;[];[];0.0;0.0;0;;;238.08421643618757;;;
8;8;image;648;261;704;280;270.5;2.0;1;[np.float64(1044.0)];[np.float64(8.877476913599812)];233.0;233.0;1;3.0962;3.3579;188.97609450231474;3.23;233.0;233.0
9;9;is;713;261;726;276;268.5;2.0;1;[];[];0.0;0.0;0;;;179.2063367231634;;;
10;10;to;734;261;751;276;268.5;0.0;1;[np.float64(1045.0)];[np.float64(10.847412977087567)];133.0;133.0;1;3.1332;3.3934;166.8975765728885;3.26;133.0;133.0
11;11;promote;760;261;837;280;270.5;2.0;1;[np.float64(1046.0)];[np.float64(7.712461675916359)];234.0;234.0;1;3.1401;3.3673;146.230459690094;3.25;234.0;234.0
12;12;positive;845;261;918;280;270.5;0.0;1;[np.float64(1047.0)];[np.float64(0.0)];200.0;200.0;1;3.1165;3.36;147.77328438676497;3.24;200.0;200.0
13;13;transformation;925;261;1063;276;268.5;2.0;1;[np.float64(1048.0)];[np.float64(0.8068385124206543)];300.0;300.0;1;3.1347;3.346;181.19170808099366;3.24;300.0;300.0
14;14;and;1071;261;1105;276;268.5;0.0;1;[np.float64(1049.0)];[np.float64(0.0)];233.0;233.0;1;3.1419;3.3784;289.3534039047155;3.26;233.0;233.0
15;15;meditation.;1114;261;1217;276;268.5;0.0;1;[np.float64(1050.0), np.float64(1051.0)];[np.float64(0.0), np.float64(0.0)];301.0;167.0;2;3.1864;3.429;326.86695008093625;3.31;150.5;301.0
16;16;The;1226;261;1262;276;268.5;0.0;1;[np.float64(1052.0)];[np.float64(6.474985599517851)];100.0;100.0;1;3.2165;3.445;429.43300991549665;3.33;100.0;100.0
17;17;group;248;346;302;362;354.0;85.5;2;[np.float64(1054.0)];[np.float64(2.1267832756042253)];166.0;166.0;1;3.0595;3.5074;525.6412641735437;3.28;166.0;166.0
18;18;of;310;342;328;358;350.0;4.0;2;[];[];0.0;0.0;0;;;500.3759265006821;;;
19;19;people;335;342;398;362;352.0;2.0;2;[np.float64(1053.0), np.float64(1055.0)];[np.float64(0.0), np.float64(0.0)];366.0;100.0;2;3.1056;3.4791;430.5205174989502;3.29;183.0;532.0
20;20;is;406;342;420;358;350.0;2.0;2;[];[];0.0;0.0;0;;;409.42748175464715;;;
21;21;sitting;429;342;484;362;352.0;2.0;2;[np.float64(1056.0)];[np.float64(0.0)];266.0;266.0;1;3.0316;3.3005;345.72118447601616;3.17;266.0;266.0
22;22;in;493;342;507;358;350.0;2.0;2;[];[];0.0;0.0;0;;;323.96864018243235;;;
23;23;a;515;346;526;358;352.0;2.0;2;[np.float64(1057.0)];[np.float64(0.9142018464895614)];433.0;433.0;1;3.0342;3.2779;305.421014632624;3.16;433.0;433.0
24;24;circle,;534;342;589;360;351.0;1.0;2;[];[];0.0;0.0;0;;;243.8679909290329;;;
25;25;focusing;597;342;678;362;352.0;1.0;2;[np.float64(1058.0)];[np.float64(0.0)];300.0;300.0;1;3.0693;3.364;159.23154009880807;3.22;300.0;300.0
26;26;on;686;346;708;358;352.0;0.0;2;[np.float64(1059.0)];[np.float64(0.0)];233.0;233.0;1;3.1107;3.4104;134.32198246288618;3.26;233.0;233.0
27;27;the;716;342;745;358;350.0;2.0;2;[];[];0.0;0.0;0;;;104.16060718970296;;;
28;28;chant,;753;342;810;361;351.5;1.5;2;[np.float64(1060.0), np.float64(1061.0)];[np.float64(3.804606383778489), np.float64(0.0)];401.0;234.0;2;3.0896;3.4041;66.65405604179071;3.25;200.5;401.0
29;29;which;819;342;874;358;350.0;1.5;2;[np.float64(1062.0)];[np.float64(0.0)];133.0;133.0;1;3.0185;3.3312;68.230459690094;3.17;133.0;133.0
30;30;is;882;342;896;358;350.0;0.0;2;[];[];0.0;0.0;0;;;89.74424206691337;;;
31;31;a;909;346;914;358;352.0;2.0;2;[];[];0.0;0.0;0;;;109.2296210918334;;;
32;32;deep;923;342;969;362;352.0;0.0;2;[np.float64(1063.0)];[np.float64(0.0)];366.0;366.0;1;2.9917;3.2884;118.26074925806307;3.14;366.0;366.0
33;33;mantra;978;343;1042;358;350.5;1.5;2;[np.float64(1064.0)];[np.float64(0.0)];300.0;300.0;1;2.9771;3.2409;168.71042163946902;3.11;300.0;300.0
34;34;that;1050;342;1086;358;350.0;0.5;2;[np.float64(1065.0)];[np.float64(0.0)];200.0;200.0;1;3.006;3.236;236.36008421256201;3.12;200.0;200.0
35;35;helps;1094;342;1144;362;352.0;2.0;2;[np.float64(1066.0)];[np.float64(2.0545527935028076)];200.0;200.0;1;2.949;3.2389;277.824498619512;3.09;200.0;200.0
36;36;them;1152;342;1199;358;350.0;2.0;2;[np.float64(1067.0)];[np.float64(0.3816419328961729)];133.0;133.0;1;3.007;3.1996;335.3130483312158;3.1;133.0;133.0
37;37;connect;1207;343;1282;358;350.5;0.5;2;[np.float64(1068.0)];[np.float64(15.374709129333496)];100.0;100.0;1;2.9587;3.1971;389.323256765301;3.08;100.0;100.0
38;38;with;278;425;315;440;432.5;82.0;3;[np.float64(1070.0)];[np.float64(0.0)];133.0;133.0;1;2.9461;3.3594;508.70220111665276;3.15;133.0;133.0
39;39;their;324;425;366;440;432.5;0.0;3;[np.float64(1069.0)];[np.float64(0.0)];134.0;134.0;1;2.9348;3.3188;457.70220111665276;3.13;134.0;267.0
40;40;inner;373;425;420;440;432.5;0.0;3;[np.float64(1071.0), np.float64(1072.0)];[np.float64(1.0705293927874209), np.float64(0.0)];567.0;333.0;2;3.0392;3.3489;403.70220111665276;3.19;283.5;567.0
41;41;selves;427;425;488;440;432.5;0.0;3;[np.float64(1073.0)];[np.float64(0.6662487983704182)];300.0;300.0;1;3.1102;3.3967;335.70220111665276;3.25;300.0;300.0
42;42;and;496;425;530;440;432.5;0.0;3;[np.float64(1074.0)];[np.float64(0.0)];300.0;300.0;1;3.1549;3.3737;293.70220111665276;3.26;300.0;300.0
43;43;achieve;538;425;612;440;432.5;0.0;3;[np.float64(1075.0)];[np.float64(1.6580951554434478)];233.0;233.0;1;3.1013;3.4276;211.70220111665276;3.26;233.0;233.0
44;44;a;620;429;630;440;434.5;2.0;3;[np.float64(1076.0)];[np.float64(2.1969015938896064)];233.0;233.0;1;3.1058;3.4408;193.7219994501512;3.27;233.0;233.0
45;45;state;638;425;685;440;432.5;2.0;3;[np.float64(1077.0)];[np.float64(0.0)];200.0;200.0;1;3.0655;3.4176;138.70220111665276;3.24;200.0;200.0
46;46;of;693;425;711;440;432.5;0.0;3;[];[];0.0;0.0;0;;;112.70220111665276;;;
47;47;mindfulness.;718;425;837;440;432.5;0.0;3;[np.float64(1078.0), np.float64(1079.0), np.float64(1123.0)];[np.float64(0.0), np.float64(0.0), np.float64(0.0)];800.0;108.0;3;3.134;3.4648;0.0;3.3;266.6667;200.0
48;48;This;846;425;886;440;432.5;0.0;3;[np.float64(1080.0)];[np.float64(0.0)];167.0;167.0;1;3.1009;3.4444;22.29779888334724;3.27;167.0;167.0
49;49;practice;895;425;970;444;434.5;2.0;3;[np.float64(1081.0)];[np.float64(0.0)];167.0;167.0;1;3.0539;3.3581;71.29779888334724;3.21;167.0;167.0
50;50;can;978;429;1011;440;434.5;0.0;3;[np.float64(1082.0)];[np.float64(3.2204469953263697)];134.0;134.0;1;3.0559;3.3889;154.32265256200748;3.22;134.0;134.0
51;51;lead;1020;425;1058;440;432.5;2.0;3;[np.float64(1083.0)];[np.float64(0.0)];167.0;167.0;1;3.1398;3.4375;196.29779888334724;3.29;167.0;167.0
52;52;to;1066;425;1083;440;432.5;0.0;3;[np.float64(1084.0)];[np.float64(0.0)];167.0;167.0;1;3.1858;3.513;242.29779888334724;3.35;167.0;167.0
53;53;personal;1092;425;1172;444;434.5;2.0;3;[np.float64(1085.0), np.float64(1086.0)];[np.float64(0.0), np.float64(0.0)];333.0;233.0;2;3.1713;3.5252;268.29779888334724;3.35;166.5;333.0
54;54;growth,;1181;425;1250;444;434.5;0.0;3;[np.float64(1087.0)];[np.float64(0.0)];333.0;333.0;1;3.1682;3.5295;357.29779888334724;3.35;333.0;333.0
55;55;relaxation,;252;506;349;524;515.0;80.5;4;[np.float64(1089.0), np.float64(1090.0)];[np.float64(15.584015130996704), np.float64(9.73857831954956)];267.0;134.0;2;3.1152;3.5552;481.3578287576185;3.34;133.5;267.0
56;56;and;358;506;392;522;514.0;1.0;4;[np.float64(1091.0)];[np.float64(2.040147716403935)];167.0;167.0;1;3.1094;3.489;439.010216293672;3.3;167.0;167.0
57;57;stress;401;507;458;522;514.5;0.5;4;[np.float64(1092.0), np.float64(1093.0)];[np.float64(2.797621250152588), np.float64(0.0)];367.0;200.0;2;3.1396;3.5029;374.51544499985346;3.32;183.5;367.0
58;58;reduction.;467;506;559;522;514.0;0.5;4;[np.float64(1094.0)];[np.float64(0.0)];475.0;475.0;1;3.1022;3.401;276.46054842826055;3.25;475.0;475.0
59;59;The;569;506;605;522;514.0;0.0;4;[np.float64(1095.0)];[np.float64(5.645041370391823)];159.0;159.0;1;2.9723;3.2465;232.7956879637648;3.11;159.0;159.0
60;60;image;613;506;670;526;516.0;2.0;4;[np.float64(1088.0), np.float64(1096.0)];[np.float64(20.920280933380184), np.float64(0.0)];300.0;100.0;2;3.043;3.3844;173.16912597041568;3.21;150.0;1735.0
61;61;also;678;506;716;522;514.0;2.0;4;[np.float64(1098.0)];[np.float64(3.077634334564209)];166.0;166.0;1;2.9348;3.2443;134.02590677412198;3.09;166.0;166.0
62;62;suggests;724;507;810;526;516.5;2.5;4;[np.float64(1097.0), np.float64(1099.0)];[np.float64(1.3154180058196097), np.float64(0.0)];433.0;200.0;2;2.9487;3.2073;81.92355557051178;3.08;216.5;599.0
63;63;that;818;506;854;522;514.0;2.5;4;[np.float64(1100.0)];[np.float64(1.6359748840332031)];266.0;266.0;1;2.949;3.2852;79.769540309906;3.12;266.0;266.0
64;64;the;861;506;890;522;514.0;0.0;4;[];[];0.0;0.0;0;;;88.0585337306745;;;
65;65;Om;898;506;931;522;514.0;0.0;4;[];[];0.0;0.0;0;;;109.01074479226364;;;
66;66;chanting;939;506;1019;526;516.0;2.0;4;[np.float64(1101.0), np.float64(1102.0)];[np.float64(4.062364918844992), np.float64(1.2222580909728435)];334.0;234.0;2;3.0028;3.2896;140.20257482870457;3.15;167.0;334.0
67;67;is;1029;506;1042;522;514.0;2.0;4;[];[];0.0;0.0;0;;;220.25068850653113;;;
68;68;being;1051;506;1101;526;516.0;2.0;4;[np.float64(1103.0)];[np.float64(0.4491424560546875)];267.0;267.0;1;2.9933;3.2544;240.88891410454795;3.12;267.0;267.0
69;69;used;1110;506;1155;522;514.0;2.0;4;[np.float64(1104.0)];[np.float64(0.0)];234.0;234.0;1;3.0092;3.2193;297.20297644321005;3.11;234.0;234.0
70;70;as;1163;510;1184;522;516.0;2.0;4;[];[];0.0;0.0;0;;;349.48581117238126;;;
71;71;a;1185;502;1196;530;516.0;0.0;4;[];[];0.0;0.0;0;;;369.157314321044;;;
72;72;tool;1211;506;1244;522;514.0;2.0;4;[np.float64(1105.0)];[np.float64(0.0)];333.0;333.0;1;3.0182;3.2665;395.4273189615753;3.14;333.0;333.0
73;73;for;1252;506;1278;522;514.0;0.0;4;[];[];0.0;0.0;0;;;435.66292485082306;;;
74;74;positive;316;588;388;607;597.5;83.5;5;[np.float64(1107.0)];[np.float64(0.0)];133.0;133.0;1;2.9843;3.292;464.7642329504008;3.14;133.0;133.0
75;75;transformation,;395;588;539;606;597.0;0.5;5;[np.float64(1106.0), np.float64(1108.0)];[np.float64(2.776572636195624), np.float64(0.0)];467.0;134.0;2;2.9719;3.2852;327.4518704981624;3.13;233.5;600.0
76;76;which;547;588;602;603;595.5;1.5;5;[np.float64(1109.0)];[np.float64(0.0)];200.0;200.0;1;2.9356;3.1997;274.4471718783909;3.07;200.0;200.0
77;77;can;610;592;643;603;597.5;2.0;5;[np.float64(1110.0)];[np.float64(5.972206320081455)];233.0;233.0;1;2.8845;3.1496;245.21995429198003;3.02;233.0;233.0
78;78;be;653;588;674;603;595.5;2.0;5;[];[];0.0;0.0;0;;;220.40901340745813;;;
79;79;achieved;682;588;767;603;595.5;0.0;5;[np.float64(1111.0), np.float64(1118.0)];[np.float64(0.18981313705444336), np.float64(1.449919291904962)];368.0;234.0;2;3.0229;3.3753;171.41914649055875;3.2;184.0;234.0
80;80;through;775;588;847;607;597.5;2.0;5;[np.float64(1112.0)];[np.float64(3.8394155502319336)];267.0;267.0;1;2.9198;3.1422;161.769540309906;3.03;267.0;267.0
81;81;meditation;857;588;954;603;595.5;2.0;5;[np.float64(1113.0), np.float64(1119.0)];[np.float64(10.04153037071228), np.float64(0.0)];534.0;267.0;2;3.0763;3.3843;165.16091420960998;3.23;267.0;267.0
82;82;and;962;588;996;603;595.5;0.0;5;[np.float64(1114.0), np.float64(1120.0)];[np.float64(2.3441720008850098), np.float64(0.0)];467.0;234.0;2;3.0739;3.3361;212.82778330861098;3.2;233.5;234.0
83;83;mindfulness;1005;588;1119;603;595.5;0.0;5;[np.float64(1115.0), np.float64(1121.0)];[np.float64(0.0), np.float64(1.5122723579406738)];500.0;200.0;2;3.2164;3.4614;242.97793326148968;3.34;250.0;200.0
84;84;practices.;1128;588;1219;607;597.5;2.0;5;[np.float64(1116.0), np.float64(1117.0), np.float64(1122.0)];[np.float64(0.0), np.float64(0.0), np.float64(0.0)];742.0;134.0;3;3.3072;3.5791;344.6252088535143;3.44;247.3333;2276.0
