classified_movement,recording_timestamp,x,y,pupil_l,pupil_r,duration,ID,USER
fixation,149.9670000076294,0.40943168260549245,0.7190990785234853,3.2614970960115133,3.0451652125308386,317.0,1,Starttimelines
fixation,516.4979999065399,0.23227606527507305,0.22199428547173738,3.3858299255371094,3.2081546783447266,133.0,2,Starttimelines
fixation,683.1089999675751,0.2016143881612354,0.22052877727482054,3.2748887803819446,3.1181148952907987,150.0,3,Starttimelines
fixation,866.510999917984,0.2805441903571288,0.2089464571326971,3.206629435221354,3.0562057495117188,200.0,4,Starttimelines
fixation,1116.566999912262,0.21554313393102753,0.26370536701546776,3.15846930609809,3.0482101440429688,300.0,5,Starttimelines
fixation,1466.6189999580383,0.3006224662065506,0.2720468153556188,3.271318562825521,3.116743977864583,250.0,6,Starttimelines
fixation,1750.0169999599457,0.38012970983982086,0.28498709431061375,3.3073319655198317,3.1400299072265625,217.0,7,Starttimelines
fixation,2000.0439999103546,0.475869756937027,0.29305546383062997,3.315887451171875,3.136369832356771,250.0,8,Starttimelines
fixation,2283.398999929428,0.4401854515075684,0.2974145203828812,3.2636962890625,3.114349365234375,83.0,9,Starttimelines
fixation,2400.0650000572205,0.5551506945720086,0.29663597964323485,3.3212867149939904,3.148187490609976,217.0,10,Starttimelines
fixation,2650.069000005722,0.6559230116280642,0.2829598459330472,3.343467018821023,3.0941328568892046,192.0,11,Starttimelines
fixation,3033.4030001163483,0.6362564836939176,0.2759706328312556,3.3731956481933594,3.1429786682128906,192.0,12,Starttimelines
fixation,3266.753000020981,0.6675742017595392,0.28425607634218114,3.4651497288754114,3.1806769120065788,317.0,13,Starttimelines
fixation,3616.779000043869,0.6346938361724218,0.2867942576607068,3.468994140625,3.2046305338541665,100.0,14,Starttimelines
fixation,3750.1210000514984,0.7284154679094043,0.2780070975422859,3.500738961356027,3.1941430228097096,234.0,15,Starttimelines
fixation,4066.7799999713898,0.2507685050368309,0.3031763370547976,3.454613821847098,3.3154296875,117.0,16,Starttimelines
fixation,4216.772000074387,0.20397455338388681,0.2942478731274605,3.4473037719726562,3.290569305419922,133.0,17,Starttimelines
fixation,4366.759999990463,0.2045541430513064,0.30112093438704807,3.4568456013997397,3.278956095377604,100.0,18,Starttimelines
fixation,4516.74799990654,0.31910622922273785,0.30774588195177227,3.468938974233774,3.2476219764122596,217.0,19,Starttimelines
fixation,4766.726999998093,0.4040217138826847,0.32238414759437245,3.452643076578776,3.2296600341796875,200.0,20,Starttimelines
fixation,5000.03200006485,0.4836478991941972,0.320589462464506,3.4775834517045454,3.2405561967329546,184.0,21,Starttimelines
fixation,5200.006999969482,0.549823060631752,0.31915155053138733,3.482865905761719,3.2590682983398436,167.0,22,Starttimelines
fixation,5399.979000091553,0.6404520502457252,0.3189833198602383,3.5401165301983175,3.2677694467397838,217.0,23,Starttimelines
fixation,5633.322000026703,0.6931624740362168,0.3173497378826141,3.5860687255859376,3.2849029541015624,167.0,24,Starttimelines
fixation,5833.322999954224,0.7566719725728035,0.29942760430276394,3.609487533569336,3.278736114501953,134.0,25,Starttimelines
fixation,6066.661000013351,0.22834509300688902,0.3547642044723034,3.4976577758789062,3.364344278971354,200.0,26,Starttimelines
fixation,6283.329999923706,0.19730082831599496,0.40292707762934943,3.509705977006392,3.3452647816051138,184.0,27,Starttimelines
fixation,6500.0,0.24612322263419628,0.40001821517944336,3.5456581115722656,3.324676513671875,67.0,28,Starttimelines
fixation,6600.00200009346,0.30277231459816295,0.411526869982481,3.521526336669922,3.3618240356445312,200.0,29,Starttimelines
fixation,7066.673000097275,0.4492079094052315,0.39661150723695754,3.5100692749023437,3.3217926025390625,159.0,30,Starttimelines
fixation,7266.671000003815,0.5144724786281586,0.3854352682828903,3.5181961059570312,3.298390197753906,167.0,31,Starttimelines
fixation,7466.670000076294,0.583877078124455,0.39805349707603455,3.4883313860212053,3.2337417602539062,233.0,32,Starttimelines
fixation,7733.332999944687,0.6688971022764841,0.385572150349617,3.5004648844401043,3.2201873779296877,249.0,33,Starttimelines
fixation,7999.996000051498,0.7049213081598282,0.38742237985134126,3.53458251953125,3.2645172119140624,167.0,34,Starttimelines
fixation,8199.986999988556,0.7568270911773046,0.38792750239372253,3.6148783365885415,3.344689687093099,200.0,35,Starttimelines
fixation,8466.645999908447,0.2873201651705636,0.44519565337234074,3.598575168185764,3.446873982747396,150.0,36,Starttimelines
fixation,8649.977999925613,0.2064250111579895,0.4472618631341241,3.6107746471058237,3.374094182794744,183.0,37,Starttimelines
fixation,8849.96799993515,0.2139687180519104,0.4808215215802193,3.569976043701172,3.3169540405273437,333.0,38,Starttimelines
fixation,9216.62400007248,0.26272699662617277,0.48903042716639383,3.546288626534598,3.348515101841518,116.0,39,Starttimelines
fixation,9383.28500008583,0.21824502646923066,0.4083790615200996,3.538116455078125,3.332574462890625,167.0,40,Starttimelines
fixation,9566.615000009537,0.20072724570830663,0.38886086642742157,3.520451863606771,3.3361216227213544,250.0,41,Starttimelines
fixation,9849.93700003624,0.25401268662376836,0.4020383114164526,3.5379756580699575,3.3715286254882812,367.0,42,Starttimelines
fixation,10249.923000097275,0.308635413646698,0.4084654822945595,3.569232177734375,3.42232666015625,167.0,43,Starttimelines
fixation,10449.927000045776,0.3710852302610874,0.41547655314207077,3.5992965698242188,3.429668426513672,75.0,44,Starttimelines
fixation,10733.257999897003,0.40278634760114884,0.3981425654557016,3.589747111002604,3.4289152357313366,292.0,45,Starttimelines
fixation,11066.58999991417,0.4788677313111045,0.3912442909045653,3.5479972145774146,3.4026960893110796,183.0,46,Starttimelines
fixation,11299.924999952316,0.5783612586950001,0.3860344996577815,3.4868445145456413,3.2976146497224508,317.0,47,Starttimelines
fixation,11649.924000024796,0.6290476988343632,0.39496015976457033,3.420658784754136,3.270224178538603,283.0,48,Starttimelines
fixation,11983.259999990463,0.69094812640777,0.3961255917182335,3.4512364314152646,3.3034292367788463,217.0,49,Starttimelines
fixation,12233.260999917984,0.7518442183732986,0.38664046078920367,3.47760009765625,3.2798736572265623,167.0,50,Starttimelines
fixation,12483.260999917984,0.289570439606905,0.4304915461689234,3.36761474609375,3.2865047454833984,134.0,51,Starttimelines
fixation,12649.927000045776,0.19755044866066712,0.42747072531626773,3.378156221829928,3.2711932842548075,217.0,52,Starttimelines
fixation,12899.926000118256,0.2600437894463539,0.43633121699094773,3.3412796020507813,3.2515380859375,167.0,53,Starttimelines
fixation,13166.59400010109,0.2103739197055499,0.47965594530105593,3.2860087076822917,3.1979085286458333,250.0,54,Starttimelines
fixation,13449.927999973297,0.29383810940716004,0.48866962558693355,3.2519124348958335,3.1582717895507812,300.0,55,Starttimelines
fixation,13783.273999929428,0.3661814481019974,0.5115711688995361,3.2325286865234375,3.1217384338378906,75.0,56,Starttimelines
fixation,14083.28500008583,0.378345787525177,0.48178425218377796,3.1928478422619047,3.1100391206287203,342.0,57,Starttimelines
fixation,14566.638000011444,0.2127450294792652,0.47918831432859105,3.2200241088867188,3.0909271240234375,200.0,58,Starttimelines
fixation,14799.980999946594,0.18928713276982306,0.3789164125919342,3.2817642211914064,3.1713134765625,167.0,59,Starttimelines
fixation,14999.990999937057,0.25903077721595763,0.3892339691519737,3.3295684814453126,3.1962615966796877,167.0,60,Starttimelines
fixation,15183.332999944687,0.31228227019309995,0.3962414741516113,3.367431640625,3.18458251953125,84.0,61,Starttimelines
fixation,15300.00300002098,0.3789091394706206,0.39977502958341077,3.3547307794744317,3.184145840731534,184.0,62,Starttimelines
fixation,15516.683000087738,0.448597634380514,0.39659760756926105,3.336844704367898,3.1818473122336646,183.0,63,Starttimelines
fixation,15716.69000005722,0.5238471627235413,0.3912016272544861,3.343119812011719,3.1746749877929688,167.0,64,Starttimelines
fixation,15916.700999975204,0.5819346734455654,0.39692702676568714,3.351672581263951,3.165990556989397,233.0,65,Starttimelines
fixation,16183.381999969482,0.6289153099060059,0.3945879638195038,3.3586387634277344,3.152496337890625,66.0,66,Starttimelines
fixation,16316.720999956131,0.6883533895015717,0.39833649396896365,3.4303848266601564,3.1911239624023438,167.0,67,Starttimelines
fixation,16500.06299996376,0.7098337709903717,0.39803650602698326,3.428241729736328,3.2009925842285156,67.0,68,Starttimelines
fixation,16600.071000099182,0.7738517224788666,0.38364255854061674,3.450374058314732,3.1622140066964284,117.0,69,Starttimelines
fixation,16800.082000017166,0.2811460511551963,0.43669702774948543,3.3775465223524304,3.262393527560764,150.0,70,Starttimelines
fixation,16966.757999897003,0.1941771869148527,0.42944939860275816,3.3764452253069197,3.232663835797991,117.0,71,Starttimelines
fixation,17350.111999988556,0.26220435202121734,0.44712815284729,3.3377227783203125,3.1299896240234375,76.0,72,Starttimelines
fixation,17466.77999997139,0.20789622204999128,0.4087465616563956,3.2928136189778647,3.112346649169922,200.0,73,Starttimelines
fixation,17683.46199989319,0.1935213189572096,0.414757722367843,3.2703730265299478,3.067906697591146,200.0,74,Starttimelines
fixation,17916.81299996376,0.26740078441798687,0.4382451629887025,3.3172988891601562,3.12632687886556,400.0,75,Starttimelines
fixation,18366.84100008011,0.4973809998482466,0.48689101822674274,3.331491470336914,3.1501779556274414,267.0,76,Starttimelines
fixation,18666.849999904633,0.4444868892431259,0.49502968192100527,3.333642578125,3.1803253173828123,83.0,77,Starttimelines
fixation,18950.18799996376,1.148940697312355,1.1760357171297073,3.4111671447753906,3.0732650756835938,67.0,78,Starttimelines
fixation,19166.861999988556,0.5048689137284572,0.5595440394603289,3.4271991436298075,3.23294184758113,433.0,79,Starttimelines
fixation,19616.865999937057,0.5630863010883331,0.5789466301600138,3.46209716796875,3.2336324055989585,150.0,80,Starttimelines
