;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;Describe;391;770;472;786;778.0;;1;[];[];0.0;0.0;0;;;583.8205443959873;;;
1;1;the;480;770;509;786;778.0;0.0;1;[];[];0.0;0.0;0;;;546.913212445148;;;
2;2;overall;518;770;579;786;778.0;0.0;1;[np.float64(1436.0)];[np.float64(28.80600865103986)];167.0;167.0;1;2.9731;3.0137;477.12779930620013;2.99;167.0;167.0
3;3;appearance;587;774;699;790;782.0;4.0;1;[np.float64(1426.0), np.float64(1437.0)];[np.float64(28.198031070015645), np.float64(30.081168391487836)];533.0;333.0;2;2.8726;2.8653;358.1598258190298;2.87;266.5;333.0
4;4;and;707;770;741;786;778.0;4.0;1;[np.float64(1427.0), np.float64(1438.0)];[np.float64(41.060359269865074), np.float64(39.77851031043315)];400.0;200.0;2;2.7942;2.708;315.9886824057111;2.75;200.0;200.0
5;5;atmosphere;750;770;861;790;780.0;2.0;1;[np.float64(1428.0), np.float64(1439.0)];[np.float64(35.60042014679357), np.float64(36.30851719596171)];833.0;233.0;2;2.7388;2.7065;197.53640928191808;2.72;416.5;233.0
6;6;of;870;770;887;786;778.0;2.0;1;[np.float64(1429.0)];[np.float64(38.157675006172894)];266.0;266.0;1;2.8335;2.8487;172.15454259206834;2.84;266.0;266.0
7;7;the;894;770;923;786;778.0;0.0;1;[];[];0.0;0.0;0;;;137.39258426179012;;;
8;8;bedroom;932;770;1014;786;778.0;0.0;1;[np.float64(1440.0)];[np.float64(38.42064245645099)];233.0;233.0;1;2.6076;2.6241;56.86527596830045;2.62;233.0;233.0
9;9;in;1023;770;1037;786;778.0;0.0;1;[np.float64(1430.0)];[np.float64(42.81540509080409)];200.0;200.0;1;2.7497;2.7679;43.61099075295569;2.76;200.0;200.0
10;10;the;1045;770;1074;786;778.0;0.0;1;[np.float64(1441.0)];[np.float64(39.96729705550456)];134.0;134.0;1;2.6617;2.7002;39.96729705550456;2.68;134.0;134.0
11;11;image.;1083;770;1144;790;780.0;2.0;1;[np.float64(1431.0)];[np.float64(42.740753708162345)];134.0;134.0;1;2.7439;2.7167;49.11655852623658;2.73;134.0;1668.0
