;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;Can;496;770;533;786;778.0;;1;[];[];0.0;0.0;0;;;500.65628041191496;;;
1;1;you;542;774;574;790;782.0;4.0;1;[];[];0.0;0.0;0;;;460.4666155210821;;;
2;2;find;582;770;615;786;778.0;4.0;1;[np.float64(3454.0)];[np.float64(60.221070884951885)];134.0;134.0;1;2.4929;2.3727;419.3020063425988;2.43;134.0;134.0
3;3;the;624;770;652;786;778.0;0.0;1;[];[];0.0;0.0;0;;;382.6836275143822;;;
4;4;flock;660;770;703;786;778.0;0.0;1;[];[];0.0;0.0;0;;;332.34823697182924;;;
5;5;of;711;770;729;786;778.0;0.0;1;[];[];0.0;0.0;0;;;306.77155930920566;;;
6;6;birds;737;770;781;786;778.0;0.0;1;[np.float64(3459.0)];[np.float64(53.349736595153786)];333.0;333.0;1;2.6377;2.4567;255.87431986512084;2.55;333.0;333.0
7;7;flying;788;770;837;790;780.0;2.0;1;[np.float64(3458.0)];[np.float64(59.9399228572845)];401.0;401.0;1;2.6068;2.4391;201.69206724795745;2.52;401.0;734.0
8;8;over;846;774;886;786;780.0;0.0;1;[np.float64(3460.0)];[np.float64(65.79292087554927)];300.0;300.0;1;2.5111;2.3705;156.86545764463267;2.44;300.0;300.0
9;9;the;893;770;922;786;778.0;2.0;1;[];[];0.0;0.0;0;;;122.61325271743321;;;
10;10;cloudy;930;770;990;790;780.0;2.0;1;[np.float64(3461.0), np.float64(3463.0)];[np.float64(60.612447071075394), np.float64(54.547277259826615)];300.0;200.0;2;2.4175;2.3507;70.15315775433626;2.38;150.0;200.0
11;11;sky?;999;770;1039;790;780.0;0.0;1;[np.float64(3462.0), np.float64(3467.0), np.float64(3468.0), np.float64(3481.0), np.float64(3482.0), np.float64(3483.0)];[np.float64(46.253255260013816), np.float64(55.29902027045143), np.float64(65.56762540248904), np.float64(55.817610073089554), np.float64(69.04555533788641), np.float64(57.38277375357484)];967.0;100.0;6;2.4744;2.5055;57.38277375357484;2.49;161.1667;1067.0
