;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;What;533;770;582;786;778.0;;1;[np.float64(455.0), np.float64(469.0)];[np.float64(56.295309352874824), np.float64(62.091491794586204)];267.0;167.0;2;2.7769;2.7071;343.98032793824837;2.74;133.5;167.0
1;1;type;589;771;628;790;780.5;2.5;1;[];[];0.0;0.0;0;;;299.39879197469736;;;
2;2;of;637;770;654;786;778.0;2.5;1;[];[];0.0;0.0;0;;;273.9935249937219;;;
3;3;furniture;661;770;740;786;778.0;0.0;1;[np.float64(454.0), np.float64(457.0), np.float64(458.0)];[np.float64(58.73768339157107), np.float64(53.32293939590454), np.float64(49.263520336151146)];468.0;234.0;3;2.7602;2.6908;192.3556925893214;2.73;156.0;401.0
4;4;can;748;774;780;786;780.0;2.0;1;[np.float64(456.0)];[np.float64(58.65484800338743)];167.0;167.0;1;2.7044;2.6271;157.87787533777367;2.67;167.0;401.0
5;5;you;789;774;821;790;782.0;2.0;1;[];[];0.0;0.0;0;;;123.53923738215329;;;
6;6;see;830;774;862;786;780.0;2.0;1;[np.float64(460.0)];[np.float64(55.093648031732776)];108.0;108.0;1;2.813;2.8414;94.65972123748539;2.83;108.0;208.0
7;7;in;871;770;885;786;778.0;2.0;1;[];[];0.0;0.0;0;;;79.40396267718157;;;
8;8;this;893;770;926;786;778.0;0.0;1;[np.float64(459.0), np.float64(470.0)];[np.float64(52.05580107825142), np.float64(72.06209440231328)];401.0;234.0;2;2.7937;2.8679;72.06209440231328;2.83;200.5;609.0
9;9;image?;934;770;1002;790;780.0;2.0;1;[];[];0.0;0.0;0;;;73.74246944278701;;;
