;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;What;612;770;661;786;778.0;;1;[];[];0.0;0.0;0;;;76.95926868480787;;;
1;1;is;669;770;682;786;778.0;0.0;1;[np.float64(3326.0)];[np.float64(63.59551516988063)];367.0;367.0;1;2.6795;2.6716;67.05888536264627;2.68;367.0;367.0
2;2;the;690;770;719;786;778.0;0.0;1;[np.float64(3327.0), np.float64(3330.0)];[np.float64(63.80935486986707), np.float64(62.82566565275192)];500.0;200.0;2;2.691;2.6676;62.82566565275192;2.68;250.0;200.0
3;3;quote;727;771;780;790;780.5;2.5;1;[np.float64(3324.0)];[np.float64(58.5604664683342)];200.0;200.0;1;2.695;2.707;67.36605133300084;2.7;200.0;200.0
4;4;on;788;774;810;786;780.0;0.5;1;[];[];0.0;0.0;0;;;106.20935871077654;;;
5;5;the;818;770;847;786;778.0;2.0;1;[np.float64(3328.0), np.float64(3329.0)];[np.float64(62.92038530716442), np.float64(65.5705253481865)];266.0;166.0;2;2.6205;2.6303;128.89885767172402;2.63;133.0;566.0
6;6;image?;856;770;923;790;780.0;2.0;1;[np.float64(3325.0)];[np.float64(66.59834784269333)];66.0;66.0;1;2.6414;2.7106;163.13440242336932;2.68;66.0;1199.0
