;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;There;251;342;307;358;350.0;;1;[np.float64(2411.0)];[np.float64(18.349261283874455)];200.0;200.0;1;3.3352;3.2108;483.10053235330446;3.27;200.0;200.0
1;1;are;315;346;344;358;352.0;2.0;1;[np.float64(2412.0)];[np.float64(18.207616517782466)];200.0;200.0;1;3.3075;3.1843;447.9712505730994;3.25;200.0;200.0
2;2;no;353;346;375;358;352.0;0.0;1;[];[];0.0;0.0;0;;;418.78674686561004;;;
3;3;birds;383;342;428;358;350.0;2.0;1;[np.float64(2413.0)];[np.float64(17.290468011583584)];233.0;233.0;1;3.2913;3.1603;369.5761178921042;3.23;233.0;233.0
4;4;or;436;346;455;358;352.0;2.0;1;[];[];0.0;0.0;0;;;344.93853406073384;;;
5;5;clouds;462;342;523;358;350.0;2.0;1;[np.float64(2414.0)];[np.float64(17.814390182495117)];200.0;200.0;1;3.3238;3.1974;284.79256884652455;3.26;200.0;200.0
6;6;visible;531;342;591;358;350.0;0.0;1;[np.float64(2415.0), np.float64(2416.0)];[np.float64(18.075710296630803), np.float64(19.779159769272958)];334.0;200.0;2;3.3757;3.2126;229.08300299331853;3.29;167.0;334.0
7;7;in;599;342;614;358;350.0;0.0;1;[];[];0.0;0.0;0;;;211.87046745056742;;;
8;8;the;622;342;651;358;350.0;0.0;1;[];[];0.0;0.0;0;;;186.81330776393423;;;
9;9;photo;659;342;712;362;352.0;2.0;1;[np.float64(2417.0)];[np.float64(9.79711484909052)];200.0;200.0;1;3.3818;3.2081;152.4962112286292;3.29;200.0;200.0
10;10;you;719;346;753;362;354.0;2.0;1;[];[];0.0;0.0;0;;;142.77683308419313;;;
11;11;provided.;762;342;848;362;352.0;2.0;1;[np.float64(2418.0), np.float64(2419.0)];[np.float64(10.548160961695999), np.float64(8.552329540252686)];434.0;234.0;2;3.3667;3.2389;142.03879718780513;3.3;217.0;434.0
12;12;The;857;342;893;358;350.0;2.0;1;[];[];0.0;0.0;0;;;171.28299171735569;;;
13;13;image;902;342;958;362;352.0;2.0;1;[np.float64(2420.0)];[np.float64(12.415504455566406)];400.0;400.0;1;3.3895;3.302;195.61619346847164;3.35;400.0;400.0
14;14;shows;966;342;1026;358;350.0;2.0;1;[np.float64(2421.0)];[np.float64(14.877382040023747)];200.0;200.0;1;3.4203;3.2964;246.43499724744242;3.36;200.0;200.0
15;15;a;1026;338;1036;366;352.0;2.0;1;[np.float64(2422.0)];[np.float64(0.0)];100.0;100.0;1;3.4043;3.2595;293.0491030708125;3.33;100.0;100.0
16;16;toy;1053;343;1081;362;352.5;0.5;1;[];[];0.0;0.0;0;;;318.88269403007695;;;
17;17;figure;1089;342;1142;362;352.0;0.5;1;[np.float64(2423.0)];[np.float64(0.0)];200.0;200.0;1;3.378;3.2641;351.48013652301756;3.32;200.0;200.0
18;18;of;1150;342;1168;358;350.0;2.0;1;[];[];0.0;0.0;0;;;409.43227719200183;;;
19;19;a;1175;346;1185;358;352.0;2.0;1;[];[];0.0;0.0;0;;;432.8797392430784;;;
20;20;surfer;1193;342;1249;358;350.0;2.0;1;[np.float64(2424.0)];[np.float64(0.0)];200.0;200.0;1;3.3592;3.2726;449.86545272596254;3.32;200.0;200.0
21;21;on;1255;346;1278;358;352.0;2.0;1;[];[];0.0;0.0;0;;;508.90580815789775;;;
22;22;a;262;429;272;440;434.5;82.5;2;[np.float64(2425.0)];[np.float64(6.247236188393404)];334.0;334.0;1;3.4374;3.2995;499.6195061889676;3.37;334.0;334.0
23;23;surfboard;280;425;370;440;432.5;2.0;2;[];[];0.0;0.0;0;;;402.62384529902727;;;
24;24;against;379;425;448;444;434.5;2.0;2;[np.float64(2426.0), np.float64(2427.0)];[np.float64(0.0), np.float64(0.0)];267.0;167.0;2;3.4116;3.2743;325.0905981912087;3.34;133.5;267.0
25;25;a;455;429;466;440;434.5;0.0;2;[];[];0.0;0.0;0;;;308.22437333702214;;;
26;26;clear;474;425;521;440;432.5;2.0;2;[];[];0.0;0.0;0;;;254.6810519221251;;;
27;27;blue;528;425;567;440;432.5;0.0;2;[];[];0.0;0.0;0;;;210.4770382790733;;;
28;28;sky.;575;425;612;444;434.5;2.0;2;[];[];0.0;0.0;0;;;166.68657875839097;;;
29;29;If;622;425;634;440;432.5;2.0;2;[];[];0.0;0.0;0;;;148.06348459814046;;;
30;30;you're;640;425;697;444;434.5;2.0;2;[np.float64(2428.0)];[np.float64(2.0361480712890625)];333.0;333.0;1;3.4051;3.2645;92.59959112204679;3.33;333.0;333.0
31;31;looking;706;425;772;444;434.5;0.0;2;[np.float64(2429.0)];[np.float64(0.0)];234.0;234.0;1;3.4212;3.2649;60.03879718780513;3.34;234.0;234.0
32;32;for;780;425;805;440;432.5;2.0;2;[np.float64(2430.0)];[np.float64(4.250900609152666)];233.0;233.0;1;3.3778;3.2571;65.24765948310691;3.32;233.0;233.0
33;33;a;812;429;822;440;434.5;2.0;2;[];[];0.0;0.0;0;;;77.98306380169014;;;
34;34;photo;831;425;884;444;434.5;0.0;2;[np.float64(2431.0)];[np.float64(0.0)];166.0;166.0;1;3.3504;3.2931;87.39054830584836;3.32;166.0;166.0
35;35;with;891;425;929;440;432.5;2.0;2;[];[];0.0;0.0;0;;;139.1172455447738;;;
36;36;birds;938;425;982;440;432.5;0.0;2;[np.float64(2432.0)];[np.float64(0.43787574768066406)];266.0;266.0;1;3.3328;3.2593;182.1311522067444;3.3;266.0;266.0
37;37;and;991;425;1025;440;432.5;0.0;2;[np.float64(2433.0)];[np.float64(0.0)];133.0;133.0;1;3.3624;3.2637;232.49499816141048;3.31;133.0;133.0
38;38;clouds,;1033;425;1100;442;433.5;1.0;2;[];[];0.0;0.0;0;;;272.65344628192213;;;
39;39;you;1109;429;1142;444;436.5;3.0;2;[];[];0.0;0.0;0;;;346.7390760555563;;;
40;40;may;1151;429;1190;444;436.5;0.0;2;[np.float64(2434.0)];[np.float64(0.0)];266.0;266.0;1;3.379;3.2455;388.1727961255745;3.31;266.0;266.0
41;41;want;1197;425;1243;440;432.5;4.0;2;[np.float64(2435.0)];[np.float64(0.0)];100.0;100.0;1;3.5108;3.3638;434.249439221307;3.44;100.0;100.0
42;42;to;1250;425;1268;440;432.5;0.0;2;[];[];0.0;0.0;0;;;486.7327223743412;;;
43;43;try;464;507;487;526;516.5;84.0;3;[];[];0.0;0.0;0;;;280.5140493627317;;;
44;44;a;495;510;506;522;516.0;0.5;3;[];[];0.0;0.0;0;;;261.5663571210011;;;
45;45;different;514;506;592;522;514.0;2.0;3;[];[];0.0;0.0;0;;;175.50937711264194;;;
46;46;image;600;506;656;526;516.0;2.0;3;[];[];0.0;0.0;0;;;111.51566615600503;;;
47;47;or;664;510;683;522;516.0;0.0;3;[];[];0.0;0.0;0;;;84.70843396312233;;;
48;48;specify;690;506;757;526;516.0;0.0;3;[np.float64(2436.0)];[np.float64(2.541029453277531)];200.0;200.0;1;3.6277;3.4635;10.680033799011976;3.55;200.0;200.0
49;49;another;765;506;838;522;514.0;2.0;3;[np.float64(2437.0)];[np.float64(1.9612028121948697)];174.0;174.0;1;3.7624;3.55;1.9612028121948697;3.66;174.0;174.0
50;50;scene;845;510;902;522;516.0;2.0;3;[];[];0.0;0.0;0;;;77.73050216679326;;;
51;51;you'd;910;506;959;526;516.0;0.0;3;[];[];0.0;0.0;0;;;142.5150758691002;;;
52;52;like;968;506;999;522;514.0;2.0;3;[];[];0.0;0.0;0;;;200.5111723171525;;;
53;53;to;1006;507;1024;522;514.5;0.5;3;[];[];0.0;0.0;0;;;238.519963045496;;;
54;54;see.;1032;510;1070;522;516.0;1.5;3;[];[];0.0;0.0;0;;;264.56874756903244;;;
