;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;The;257;342;293;358;350.0;;1;[];[];0.0;0.0;0;;;792.7770727945967;;;
1;1;purple;302;342;360;362;352.0;2.0;1;[];[];0.0;0.0;0;;;725.9805391925792;;;
2;2;color;368;342;414;358;350.0;2.0;1;[np.float64(3558.0)];[np.float64(67.31065945064319)];67.0;67.0;1;3.5186;3.4087;673.453995571372;3.46;67.0;67.0
3;3;image;422;342;478;362;352.0;2.0;1;[];[];0.0;0.0;0;;;609.8264282518041;;;
4;4;shows;486;342;546;358;350.0;2.0;1;[];[];0.0;0.0;0;;;544.1287188698858;;;
5;5;a;555;346;565;358;352.0;2.0;1;[];[];0.0;0.0;0;;;525.6232092440695;;;
6;6;woman;573;346;641;358;352.0;0.0;1;[];[];0.0;0.0;0;;;452.0116587923826;;;
7;7;standing;649;342;730;362;352.0;0.0;1;[];[];0.0;0.0;0;;;365.7468508588185;;;
8;8;on;738;346;760;358;352.0;0.0;1;[];[];0.0;0.0;0;;;338.8763170002736;;;
9;9;top;768;343;797;362;352.5;0.5;1;[];[];0.0;0.0;0;;;303.04246801155676;;;
10;10;of;805;342;823;358;350.0;2.5;1;[];[];0.0;0.0;0;;;280.9497816396507;;;
11;11;a;830;346;840;358;352.0;2.0;1;[];[];0.0;0.0;0;;;265.71469048129705;;;
12;12;mountain,;849;342;941;360;351.0;1.0;1;[];[];0.0;0.0;0;;;180.44513827605684;;;
13;13;holding;950;342;1018;362;352.0;1.0;1;[];[];0.0;0.0;0;;;130.9826613074744;;;
14;14;a;1026;346;1036;358;352.0;0.0;1;[];[];0.0;0.0;0;;;127.78805146268729;;;
15;15;book.;1045;342;1095;358;350.0;2.0;1;[];[];0.0;0.0;0;;;121.21529597675101;;;
16;16;She;1105;342;1141;358;350.0;0.0;1;[];[];0.0;0.0;0;;;124.530892010258;;;
17;17;has;1150;342;1182;358;350.0;0.0;1;[];[];0.0;0.0;0;;;141.78137564200802;;;
18;18;long;1191;342;1230;362;352.0;2.0;1;[];[];0.0;0.0;0;;;163.88988559243288;;;
19;19;hair;1238;342;1273;358;350.0;2.0;1;[];[];0.0;0.0;0;;;201.964875273479;;;
20;20;and;263;425;297;440;432.5;82.5;2;[np.float64(3559.0), np.float64(3562.0)];[np.float64(4.057016997435357), np.float64(0.0)];367.0;200.0;2;3.4604;3.3177;780.4412441268576;3.39;183.5;200.0
21;21;wears;305;429;362;440;434.5;2.0;2;[];[];0.0;0.0;0;;;715.5308068677563;;;
22;22;a;364;421;374;448;434.5;0.0;2;[];[];0.0;0.0;0;;;703.1486056434156;;;
23;23;black;389;425;438;440;432.5;2.0;2;[np.float64(3560.0), np.float64(3561.0), np.float64(3563.0)];[np.float64(4.661754383760297), np.float64(0.0), np.float64(0.0)];667.0;367.0;3;3.4482;3.3209;639.6585942243165;3.38;222.3333;834.0
24;24;dress;446;425;498;440;432.5;0.0;2;[np.float64(3564.0)];[np.float64(0.0)];200.0;200.0;1;3.3949;3.2804;579.783124151139;3.34;200.0;200.0
25;25;with;505;425;543;440;432.5;0.0;2;[np.float64(3565.0), np.float64(3575.0)];[np.float64(0.0), np.float64(45.394543278026106)];567.0;200.0;2;3.3372;3.2007;534.8948368273194;3.27;283.5;200.0
26;26;white;551;425;601;440;432.5;0.0;2;[];[];0.0;0.0;0;;;477.0698710745663;;;
27;27;sleeves.;609;425;687;440;432.5;0.0;2;[np.float64(3566.0), np.float64(3567.0), np.float64(3576.0)];[np.float64(4.2045351327581875), np.float64(2.784038978464423), np.float64(39.23804346954125)];734.0;267.0;3;3.3745;3.2202;391.4247511202473;3.3;244.6667;467.0
28;28;The;696;425;732;440;432.5;0.0;2;[np.float64(3568.0)];[np.float64(5.30159576500165)];133.0;133.0;1;3.3494;3.2456;346.6804742174229;3.3;133.0;133.0
29;29;background;741;425;852;444;434.5;2.0;2;[np.float64(3569.0), np.float64(3577.0)];[np.float64(3.558089861348833), np.float64(25.958645624273004)];534.0;234.0;2;3.3303;3.1904;227.20109288173677;3.26;267.0;234.0
30;30;appears;860;429;937;444;436.5;2.0;2;[np.float64(3570.0), np.float64(3571.0), np.float64(3578.0), np.float64(3579.0)];[np.float64(8.669451135046359), np.float64(16.62577732170331), np.float64(30.649674565238413), np.float64(37.37902240192193)];1134.0;267.0;4;3.3283;3.2159;143.8329631123409;3.27;283.5;534.0
31;31;to;945;425;962;440;432.5;4.0;2;[];[];0.0;0.0;0;;;120.9870837365885;;;
32;32;be;970;425;992;440;432.5;0.0;2;[];[];0.0;0.0;0;;;93.11579551181086;;;
33;33;a;1000;429;1010;440;434.5;2.0;2;[];[];0.0;0.0;0;;;77.16318772202995;;;
34;34;dark;1019;425;1059;440;432.5;2.0;2;[np.float64(3580.0)];[np.float64(41.1671939793755)];166.0;166.0;1;3.2793;3.141;42.92470010599909;3.21;166.0;166.0
35;35;forest;1067;425;1121;440;432.5;0.0;2;[np.float64(3581.0)];[np.float64(39.21529597675101)];166.0;166.0;1;3.295;3.1338;39.21529597675101;3.21;166.0;166.0
36;36;or;1129;429;1148;440;434.5;2.0;2;[np.float64(3572.0)];[np.float64(21.35884519184333)];200.0;200.0;1;3.351;3.1796;65.56505226760557;3.27;200.0;200.0
37;37;a;1155;429;1165;440;434.5;0.0;2;[];[];0.0;0.0;0;;;87.79006832137601;;;
38;38;deep;1173;425;1220;444;434.5;0.0;2;[];[];0.0;0.0;0;;;102.76662830747011;;;
39;39;blue;1228;425;1267;440;432.5;2.0;2;[np.float64(3573.0), np.float64(3574.0)];[np.float64(22.919615328812768), np.float64(38.08817900811994)];333.0;233.0;2;3.3238;3.1457;156.53628968966612;3.23;166.5;2199.0
40;40;sky.;749;506;786;526;516.0;83.5;3;[];[];0.0;0.0;0;;;291.68776222455693;;;
