;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;Reaching;676;425;765;444;434.5;;1;[np.float64(3237.0)];[np.float64(0.0)];600.0;600.0;1;2.9708;2.9674;20.524200439453125;2.97;600.0;600.0
1;1;for;773;425;798;440;432.5;2.0;1;[np.float64(3238.0)];[np.float64(0.0)];175.0;175.0;1;3.0782;3.0458;0.0;3.06;175.0;175.0
2;2;Home;806;425;861;440;432.5;0.0;1;[];[];0.0;0.0;0;;;20.475799560546875;;;
