;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;The;579;425;615;440;432.5;;1;[];[];0.0;0.0;0;;;219.4543069613688;;;
1;1;clock;624;425;672;440;432.5;0.0;1;[];[];0.0;0.0;0;;;162.4553254685542;;;
2;2;on;680;429;702;440;434.5;2.0;1;[np.float64(2264.0)];[np.float64(4.753165456947405)];200.0;200.0;1;3.3509;3.2279;132.45621361530755;3.29;200.0;200.0
3;3;the;710;425;739;440;432.5;2.0;1;[np.float64(2263.0), np.float64(2265.0)];[np.float64(0.0), np.float64(1.8800577929144993)];234.0;100.0;2;3.3566;3.2497;95.45807781270504;3.3;117.0;434.0
4;4;building;748;425;820;444;434.5;2.0;1;[];[];0.0;0.0;0;;;14.45140412983153;;;
5;5;shows;828;425;889;440;432.5;2.0;1;[np.float64(2267.0)];[np.float64(1.128746800673639)];174.0;174.0;1;3.4234;3.3261;1.128746800673639;3.37;174.0;174.0
6;6;12:30.;899;425;955;440;432.5;0.0;1;[np.float64(2266.0)];[np.float64(1.163827519667791)];333.0;333.0;1;3.3916;3.328;64.55846418673822;3.36;333.0;507.0
