;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;What;455;770;504;786;778.0;;1;[];[];0.0;0.0;0;;;625.601956685384;;;
1;1;is;513;770;526;786;778.0;0.0;1;[];[];0.0;0.0;0;;;603.601956685384;;;
2;2;the;533;770;562;786;778.0;0.0;1;[];[];0.0;0.0;0;;;567.601956685384;;;
3;3;purpose;571;774;646;790;782.0;4.0;1;[];[];0.0;0.0;0;;;483.60195890701857;;;
4;4;of;654;770;672;786;778.0;4.0;1;[np.float64(1636.0)];[np.float64(22.50176344224188)];266.0;266.0;1;3.2419;3.0585;457.60195668538404;3.15;266.0;266.0
5;5;the;679;770;708;786;778.0;0.0;1;[];[];0.0;0.0;0;;;421.60195668538404;;;
6;6;Om;716;770;748;786;778.0;0.0;1;[np.float64(1637.0)];[np.float64(0.0)];200.0;200.0;1;3.3589;3.1856;381.60195668538404;3.27;200.0;200.0
7;7;chanting;757;770;836;790;780.0;2.0;1;[np.float64(1638.0), np.float64(1640.0)];[np.float64(0.0), np.float64(0.0)];501.0;267.0;2;3.2838;3.106;293.60195668538404;3.19;250.5;267.0
8;8;mentioned;845;770;943;786;778.0;2.0;1;[np.float64(1639.0), np.float64(1641.0), np.float64(1642.0), np.float64(1644.0)];[np.float64(0.0), np.float64(0.0), np.float64(1.990451176961301), np.float64(0.0)];1099.0;200.0;4;3.2962;3.1135;186.60195668538404;3.2;274.75;967.0
9;9;in;953;770;966;786;778.0;0.0;1;[];[];0.0;0.0;0;;;163.60195668538404;;;
10;10;the;975;770;1004;786;778.0;0.0;1;[];[];0.0;0.0;0;;;125.60195668538404;;;
11;11;image?;1013;770;1080;790;780.0;2.0;1;[np.float64(1643.0), np.float64(1645.0), np.float64(1646.0), np.float64(1647.0), np.float64(1648.0)];[np.float64(0.9284610748291016), np.float64(0.7197165489196777), np.float64(54.79936944870701), np.float64(0.4900078773498535), np.float64(49.60195668538404)];1099.0;133.0;5;3.2999;3.1372;49.60195668538404;3.22;219.8;1465.0
