;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;No,;262;342;293;361;351.5;;1;[np.float64(2565.0), np.float64(2566.0)];[np.float64(19.11472497133275), np.float64(15.515794175787713)];400.0;200.0;2;3.313;3.1948;534.5768577024555;3.25;200.0;400.0
1;1;the;302;342;331;358;350.0;1.5;1;[];[];0.0;0.0;0;;;498.53829065577054;;;
2;2;artist;339;342;386;358;350.0;0.0;1;[np.float64(2567.0)];[np.float64(12.279164791107121)];200.0;200.0;1;3.1838;3.0992;445.6959376689357;3.14;200.0;200.0
3;3;did;393;342;420;358;350.0;0.0;1;[];[];0.0;0.0;0;;;413.3114344492966;;;
4;4;not;429;343;458;358;350.5;0.5;1;[np.float64(2568.0)];[np.float64(18.514320120683536)];167.0;167.0;1;3.2045;3.146;377.4533705706942;3.18;167.0;167.0
5;5;include;466;342;533;358;350.0;0.5;1;[np.float64(2569.0)];[np.float64(18.07424902915949)];133.0;133.0;1;3.2429;3.1352;308.1909296901648;3.19;133.0;133.0
6;6;a;541;346;551;358;352.0;2.0;1;[];[];0.0;0.0;0;;;291.99005748215916;;;
7;7;chicken;559;342;631;358;350.0;2.0;1;[np.float64(2570.0)];[np.float64(13.169289112091008)];133.0;133.0;1;3.1888;3.169;223.34465742976477;3.18;133.0;133.0
8;8;in;641;342;655;358;350.0;0.0;1;[];[];0.0;0.0;0;;;204.367875906695;;;
9;9;this;663;342;696;358;350.0;0.0;1;[np.float64(2571.0)];[np.float64(11.466373920440674)];200.0;200.0;1;3.2537;3.1698;174.82951094932824;3.21;200.0;200.0
10;10;piece.;705;342;759;362;352.0;2.0;1;[np.float64(2572.0)];[np.float64(3.9862720966338543)];200.0;200.0;1;3.3149;3.1815;137.3918602746263;3.25;200.0;200.0
11;11;The;768;342;805;358;350.0;2.0;1;[];[];0.0;0.0;0;;;130.91001901625023;;;
12;12;image;813;342;870;362;352.0;2.0;1;[np.float64(2573.0)];[np.float64(8.843725156784046)];334.0;334.0;1;3.3126;3.2257;126.72078300405936;3.27;334.0;334.0
13;13;features;877;342;955;358;350.0;2.0;1;[np.float64(2574.0)];[np.float64(14.413222014904022)];267.0;267.0;1;3.3381;3.252;145.94386310983046;3.3;267.0;267.0
14;14;two;963;343;996;358;350.5;0.5;1;[];[];0.0;0.0;0;;;199.6474434808874;;;
15;15;cows;1004;346;1052;358;352.0;1.5;1;[np.float64(2575.0)];[np.float64(5.436405615373133)];367.0;367.0;1;3.297;3.1967;232.19438168185965;3.25;367.0;367.0
16;16;standing;1061;342;1141;362;352.0;0.0;1;[];[];0.0;0.0;0;;;279.3036843303601;;;
17;17;next;1150;343;1190;358;350.5;1.5;1;[np.float64(2576.0)];[np.float64(0.0)];167.0;167.0;1;3.2452;3.0799;362.30678042805465;3.16;167.0;167.0
18;18;to;1197;343;1214;358;350.5;0.0;1;[];[];0.0;0.0;0;;;406.4949944530171;;;
19;19;each;1222;342;1267;358;350.0;0.5;1;[np.float64(2577.0)];[np.float64(3.308968424797058)];134.0;134.0;1;3.2715;3.0794;430.24223554264006;3.18;134.0;134.0
20;20;other;262;425;311;440;432.5;82.5;2;[np.float64(2578.0)];[np.float64(4.416832804679814)];400.0;400.0;1;3.2258;3.1359;503.45862500459265;3.18;400.0;400.0
21;21;on;318;429;340;440;434.5;2.0;2;[];[];0.0;0.0;0;;;474.60301298831257;;;
22;22;a;343;421;353;448;434.5;0.0;2;[];[];0.0;0.0;0;;;460.8980835094824;;;
23;23;dirt;367;425;396;440;432.5;2.0;2;[];[];0.0;0.0;0;;;418.9382646302119;;;
24;24;road,;405;425;451;442;433.5;1.0;2;[np.float64(2579.0)];[np.float64(1.9142074584962074)];133.0;133.0;1;3.2701;3.1157;364.1055354460461;3.19;133.0;133.0
25;25;with;459;425;497;440;432.5;1.0;2;[np.float64(2580.0)];[np.float64(1.37732994556427)];266.0;266.0;1;3.1859;3.0881;318.839897939434;3.14;266.0;266.0
26;26;a;506;429;516;440;434.5;2.0;2;[];[];0.0;0.0;0;;;300.07704522730495;;;
27;27;man;525;429;563;440;434.5;0.0;2;[np.float64(2581.0)];[np.float64(0.9022262573241733)];166.0;166.0;1;3.2138;3.0821;253.81530774081736;3.15;166.0;166.0
28;28;standing;572;425;652;444;434.5;0.0;2;[np.float64(2582.0)];[np.float64(2.7472190856932457)];200.0;200.0;1;3.192;3.0067;166.2238989226637;3.1;200.0;200.0
29;29;behind;661;425;723;440;432.5;2.0;2;[];[];0.0;0.0;0;;;101.54553220863328;;;
30;30;them.;732;425;783;440;432.5;0.0;2;[np.float64(2583.0)];[np.float64(0.0)];267.0;267.0;1;3.2074;3.1459;56.744839959443524;3.18;267.0;267.0
31;31;There;793;425;848;440;432.5;0.0;2;[];[];0.0;0.0;0;;;48.71755838394165;;;
32;32;are;856;429;886;440;434.5;2.0;2;[np.float64(2584.0)];[np.float64(0.0)];200.0;200.0;1;3.2283;3.1175;65.58172757547335;3.17;200.0;200.0
33;33;no;894;429;916;440;434.5;0.0;2;[];[];0.0;0.0;0;;;95.29778644032703;;;
34;34;chickens;924;425;1008;440;432.5;2.0;2;[np.float64(2585.0)];[np.float64(0.0)];300.0;300.0;1;3.2485;3.135;122.04879751833002;3.19;300.0;300.0
35;35;in;1017;425;1031;440;432.5;0.0;2;[np.float64(2586.0)];[np.float64(4.329170227050781)];200.0;200.0;1;3.2376;3.0962;210.61589609743885;3.17;200.0;200.0
36;36;the;1039;425;1068;440;432.5;0.0;2;[];[];0.0;0.0;0;;;232.07505753693752;;;
