;ID;x;y;duration;pupil_r;pupil_l;word;word_number;distance
1794;1795;676.5806922912598;396.0629653930664;66.0;3.2041549682617188;3.346664428710937;;;
1795;1796;418.31125095912387;432.5805839129856;233.0;3.223517281668527;3.3152988978794644;predominant;1.0;0.0
1796;1797;487.26095581054676;429.3149714469909;100.0;3.197397867838541;3.336827596028646;predominant;1.0;0.0
1797;1798;564.4865668160573;432.3104508263724;233.0;3.14780752999442;3.317230224609375;airplane;2.0;0.0
1798;1799;620.3991107940674;431.19836926460266;133.0;3.147216796875;3.3106842041015625;display;4.0;0.0
1799;1800;696.1524490356445;429.8687845230103;167.0;3.155682373046875;3.300518798828125;is;5.0;0.0
1800;1801;626.1165046691895;433.66268634796137;200.0;3.1600316365559897;3.334081013997396;display;4.0;0.0
1801;1802;699.4612976074218;435.9688410758972;166.0;3.1696929931640625;3.3496002197265624;is;5.0;1.461297607421784
1802;1803;770.5023918151855;436.3469166755676;200.0;3.231185913085937;3.314465840657552;with;7.0;0.0
1803;1804;877.0769195556641;434.2828506231308;400.0;3.2702967325846357;3.326324462890625;additional;8.0;0.0
1804;1805;936.5896854400635;435.17188543081284;267.0;3.2344932556152344;3.317991256713867;stripes;9.0;0.0
1805;1806;990.4266357421875;428.3631820678711;75.0;3.1667633056640625;3.326118469238281;in;10.0;0.0
1806;1807;1016.6839294433594;437.0661177635193;92.0;3.198944091796875;3.336435953776041;red,;11.0;0.0
1807;1808;982.3388442993164;442.375594496727;134.0;3.241138458251953;3.3423309326171875;in;10.0;2.3755944967269897
1808;1809;1060.6583251953125;435.0183520317078;200.0;3.1449610392252603;3.2965265909830728;white,;12.0;0.0
1809;1810;948.7098795572917;436.06173706054693;300.0;3.167451646592882;3.260955810546875;stripes;9.0;0.0
