;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;Did;556;770;585;786;778.0;;1;[];[];0.0;0.0;0;;;318.5005453429252;;;
1;1;the;593;770;622;786;778.0;0.0;1;[];[];0.0;0.0;0;;;281.6983425071531;;;
2;2;artist;630;770;676;786;778.0;0.0;1;[np.float64(2549.0)];[np.float64(24.72530744921778)];467.0;467.0;1;3.2997;3.1115;228.10190662758956;3.21;467.0;467.0
3;3;include;685;770;750;786;778.0;0.0;1;[np.float64(2550.0)];[np.float64(29.26607187640286)];166.0;166.0;1;3.2564;3.0797;155.11027490857856;3.17;166.0;166.0
4;4;a;758;774;768;786;780.0;2.0;1;[];[];0.0;0.0;0;;;138.47314813619835;;;
5;5;chicken;777;770;846;786;778.0;2.0;1;[np.float64(2551.0)];[np.float64(28.667695897066096)];366.0;366.0;1;3.207;3.0566;63.96974511765634;3.13;366.0;366.0
6;6;in;856;770;870;786;778.0;0.0;1;[];[];0.0;0.0;0;;;44.50124736980631;;;
7;7;this;878;770;910;786;778.0;0.0;1;[np.float64(2552.0)];[np.float64(30.930103405829414)];274.0;274.0;1;3.223;3.0626;30.930103405829414;3.14;274.0;274.0
8;8;piece?;919;770;979;790;780.0;2.0;1;[];[];0.0;0.0;0;;;35.296404470295464;;;
