;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;What;592;770;641;786;778.0;;1;[np.float64(4069.0), np.float64(4070.0), np.float64(4074.0), np.float64(4084.0)];[np.float64(15.787169511716558), np.float64(2.3372537067958774), np.float64(0.37344908714294434), np.float64(11.35838187824595)];999.0;266.0;4;3.2301;3.1563;126.58254522879189;3.19;249.75;499.0
1;1;is;649;770;662;786;778.0;0.0;1;[np.float64(4085.0)];[np.float64(4.266712047776598)];167.0;167.0;1;3.3832;3.3304;105.8144351986934;3.36;167.0;167.0
2;2;the;670;770;699;786;778.0;0.0;1;[np.float64(4071.0), np.float64(4086.0), np.float64(4097.0)];[np.float64(4.110507392883278), np.float64(4.699238046859387), np.float64(72.85014629364014)];468.0;167.0;3;3.3192;3.294;69.56260777105544;3.31;156.0;167.0
3;3;man;708;774;746;786;780.0;2.0;1;[np.float64(4072.0)];[np.float64(2.1717824935913086)];234.0;234.0;1;3.144;3.1427;29.395756210066573;3.14;234.0;234.0
4;4;doing;755;770;806;790;780.0;0.0;1;[np.float64(4073.0), np.float64(4075.0), np.float64(4087.0), np.float64(4098.0)];[np.float64(1.847244834899925), np.float64(0.0880782183478459), np.float64(7.1280054092407), np.float64(17.15000343322754)];1134.0;333.0;4;3.2704;3.2654;17.15000343322754;3.27;283.5;1901.0
5;5;in;815;770;829;786;778.0;2.0;1;[];[];0.0;0.0;0;;;51.5226909868926;;;
6;6;the;837;770;866;786;778.0;0.0;1;[np.float64(4088.0)];[np.float64(1.1425971984863281)];100.0;100.0;1;3.2151;3.2796;72.6382190143705;3.25;100.0;301.0
7;7;image?;875;770;943;790;780.0;2.0;1;[];[];0.0;0.0;0;;;109.93062266857387;;;
