;ID;x;y;duration;pupil_r;pupil_l;word;word_number;distance
3367;3368;432.0597381591796;341.6429185867309;108.0;3.3508707682291665;3.383636474609375;;;
3368;3369;273.05274963378895;365.06723999977106;192.0;3.308418273925781;3.357772827148437;The;0.0;48.06723999977106
3369;3370;376.7354571024576;361.02862930297846;300.0;3.19966803656684;3.223598904079861;possible;1.0;40.06623235630892
3370;3371;269.9243627275739;369.1318776266915;233.0;3.182305472237723;3.173185076032366;them.;20.0;13.868122373308495
3371;3372;437.22826603480746;372.72312498092646;234.0;3.2175445556640625;3.2695465087890625;contains;23.0;10.276875019073543
3372;3373;504.10469818115223;371.7538712024688;200.0;3.252812703450521;3.3193689982096357;a;24.0;15.246128797531185
3373;3374;582.3255386352539;368.4757289886474;267.0;3.2803611755371094;3.3259010314941406;sandwich;25.0;14.524271011352596
3374;3375;644.7247032165527;365.2552332401275;334.0;3.349848937988281;3.3714935302734377;and;26.0;17.744766759872505
3375;3376;721.4981918334961;361.5201344490051;234.0;3.4209812709263394;3.4155469621930803;while;28.0;21.479865550994873
3376;3377;790.810567220052;357.9783024787903;600.0;3.3976737128363714;3.3773396809895835;another;29.0;25.021697521209717
3377;3378;841.4005645751954;350.17083435058595;167.0;3.342401123046875;3.32821044921875;has;30.0;32.82916564941405
3378;3379;930.916998726981;348.97963081087386;234.0;3.3490992954799106;3.3526480538504466;salad;32.0;34.02036918912614
3379;3380;985.9492165701731;348.65181582314625;233.0;3.2696925571986606;3.331813267299107;and;33.0;34.34818417685375
3380;3381;1045.2792372270064;336.742903102528;366.0;3.1665843616832388;3.2357413552024146;side;35.0;46.257096897472024
3381;3382;1164.7641143798828;333.1992709636688;400.0;3.1589177449544272;3.248818715413412;rice;38.0;49.80072903633118
3382;3383;1231.5663299560547;318.89417266845703;108.0;3.16400146484375;3.2851765950520835;beans.;40.0;64.10582733154297
3383;3384;291.42298889160145;435.43999099731445;92.0;3.265146891276041;3.269587198893229;These;41.0;30.560009002685547
3384;3385;249.97253983596272;439.0201398093125;967.0;3.198251132307381;3.272728755556304;These;41.0;27.149187298220834
3385;3386;269.4425909859792;375.12502568108687;233.0;3.232764107840402;3.3708016531808034;These;41.0;90.87497431891313
3386;3387;334.84607124328613;442.01371300220495;400.0;3.273543039957682;3.4058736165364585;dishes;42.0;23.986286997795048
