;ID;x;y;duration;pupil_r;pupil_l;word;word_number;distance
1199;1200;561.7953491210938;767.2021064758301;100.0;4.029296875000001;4.051823933919271;;;
1200;1201;489.9853935241699;769.0832333564758;600.0;4.020871480305989;4.113554212782118;Could;0.0;8.06686915978535
1201;1202;538.4898880004882;761.5131677627563;167.0;4.218203735351563;4.318502807617188;Could;0.0;8.486832237243675
1202;1203;484.3143081665039;761.491676739284;234.0;4.246747698102679;4.329796927315848;Could;0.0;16.11489142595328
1203;1204;577.8088569641113;765.0076217651367;200.0;4.261533101399739;4.342735290527344;you;1.0;8.992378234863281
1204;1205;663.7783748081752;768.1035579953875;700.0;4.229127429780506;4.2543792724609375;blow-by-blow;4.0;2.920977707859026
1205;1206;632.3858446393695;767.362455368042;233.0;4.11376953125;4.134722028459822;give;2.0;2.637544631958008
1206;1207;684.3589848109654;768.3499264035906;234.0;4.102774483816964;4.139519827706473;blow-by-blow;4.0;1.6500735964093565
1207;1208;766.6680872990535;766.47846530034;433.0;4.166661189152644;4.162056556114783;blow-by-blow;4.0;3.5215346996600374
1208;1209;893.8458976745605;768.9499733448029;400.0;4.152964274088542;4.1433868408203125;description;5.0;1.0500266551971436
1247;1248;623.2951984405516;744.2859070301056;134.0;4.533378601074219;4.734981536865234;give;2.0;25.71409296989441
1248;1249;922.2604866027832;759.2485263347626;133.0;4.561920166015625;4.750072479248048;of;6.0;10.751473665237427
1249;1250;962.2501373291016;764.2664093971252;134.0;4.591156005859375;4.7591094970703125;the;7.0;6.159316455678343
1254;1255;555.6399154663086;756.0098190307617;200.0;4.559605916341146;4.801556905110677;Could;0.0;14.455938162357691
1255;1256;821.9501691545759;768.353737286159;233.0;4.529569353376116;4.720600673130581;description;5.0;1.646262713840997
1256;1257;754.7753448486328;759.3513429164886;266.0;4.531854629516602;4.689170837402344;blow-by-blow;4.0;10.648657083511353
1257;1258;925.3292737688337;763.7623079844883;233.0;4.466439383370536;4.626338413783482;of;6.0;6.246376781400584
1265;1266;578.8124542236328;751.9860420227051;200.0;4.34386698404948;4.513730367024739;you;1.0;22.013957977294922
