;ID;x;y;duration;pupil_r;pupil_l;word;word_number;distance
5299;5300;424.0932159423827;423.0871438980102;100.0;3.2845662434895835;3.411677042643229;;;
5300;5301;254.79117584228504;300.4955599308014;200.0;3.336982727050781;3.341351826985677;The;0.0;81.92177210994711
5301;5302;316.2145557403564;301.57109248638153;133.0;3.2206573486328125;3.23061752319336;The;0.0;66.57109248638153
5302;5303;393.8281647818428;294.29508631569996;233.0;3.1573922293526784;3.17551749093192;quote;1.0;55.29508631569996
5303;5304;557.2586288452148;297.42821788787836;200.0;3.1887690226236978;3.187403361002604;suggests;5.0;58.42821788787836
5304;5305;646.7502365112304;285.58602046966547;200.0;3.2252705891927085;3.170745849609375;that;6.0;50.58602046966547
5305;5306;709.097607421875;288.53562812805177;167.0;3.276300048828125;3.2065216064453126;peace,;7.0;49.53562812805177
5306;5307;774.069580078125;291.7903543199812;233.0;3.256901332310268;3.2008754185267856;poetry,;8.0;52.79035431998119
5307;5308;895.7919502258301;283.9260174036026;266.0;3.202207565307617;3.184900283813477;power;10.0;44.9260174036026
5308;5309;1018.6421497051533;276.5815377969008;433.0;3.1100428654597354;3.125242966871995;important;12.0;37.58153779690082
5309;5310;1114.2468338012695;268.3013859987259;134.0;3.040874481201172;3.129711151123047;aspects;13.0;29.30138599872589
5310;5311;1169.7663230895996;266.84390687942505;133.0;3.087196350097656;3.157299041748047;of;14.0;31.9638381422123
5311;5312;682.2642909458705;290.52788727624073;233.0;3.228112357003348;3.182591029575893;qualities;22.0;11.472112723759267
5312;5313;764.4092737833658;286.6293697357178;300.0;3.191585964626736;3.1992560492621527;and;23.0;15.370630264282227
5313;5314;878.631352742513;281.14526224136347;300.0;3.200934516059028;3.250091552734375;incorporate;26.0;20.85473775863653
5314;5315;1155.9785995483398;269.4973111152649;400.0;3.202861785888672;3.3142369588216147;daily;30.0;32.50268888473511
5315;5316;301.70741271972645;371.1661219596863;167.0;3.14715576171875;3.1802734375;image;33.0;11.83387804031372
5316;5317;251.87624130249014;373.1449098587036;167.0;3.143170166015625;3.1720123291015625;image;33.0;19.757173725602094
5317;5318;328.38253657023097;368.28353261947626;300.0;3.10123528374566;3.155997382269965;image;33.0;15.100197542117424
5318;5319;428.68668111165357;366.81993484497065;300.0;3.102322048611111;3.207187228732639;clock;36.0;18.190815796998564
5319;5320;497.6525955200195;366.1294945478439;400.0;3.1617952982584634;3.29693603515625;with;37.0;16.870505452156124
5320;5321;465.5756378173827;360.1941726207733;67.0;3.1548309326171875;3.311996459960937;clock;36.0;22.805827379226685
5321;5322;593.4694360586313;367.9583145288321;434.0;3.206677950345553;3.3007777287409854;rose;39.0;19.04168547116791
5322;5323;672.9745472499303;362.55200631277904;700.0;3.20047360374814;3.26052493140811;quote,;42.0;21.447993687220958
5323;5324;706.8565826416014;356.40805006027216;208.0;3.253186543782552;3.284907023111979;quote,;42.0;27.59194993972784
5324;5325;821.0657501220703;354.5176312923431;258.0;3.150470733642578;3.213459014892578;can;44.0;32.48236870765692
5325;5326;886.1647273472378;352.1331618853977;233.0;2.993807111467634;3.045017787388393;interpreted;46.0;30.866838114602274
5326;5327;938.4373397827148;346.62178001403805;334.0;2.9266067504882813;2.964340209960937;interpreted;46.0;36.37821998596195
5327;5328;974.9066619873047;346.23964047431946;600.0;3.043664720323351;3.117747836642795;interpreted;46.0;36.96736453062814
5328;5329;1103.8615951538086;333.74816036224365;267.0;3.039630889892578;3.166778564453125;reminder;49.0;49.25183963775635
5329;5330;1185.1504996163503;332.9203013011387;467.0;3.0383398873465404;3.140160696847098;balance;52.0;50.086903205035064
5330;5331;273.5094425494854;443.328767483051;433.0;3.076379629281851;3.115001971905048;between;53.0;22.671232516948976
5331;5332;343.73361511230456;442.61903457641597;166.0;3.045574951171875;3.08397216796875;the;54.0;23.415235954878085
5332;5333;303.80229568481434;446.5741603374481;200.0;3.10223134358724;3.154698689778646;between;53.0;19.42583966255188
5333;5334;368.4468483924866;438.12256747484207;267.0;3.133617401123047;3.196805953979492;the;54.0;27.87743252515793
5334;5335;420.2409051748423;436.6624781535222;433.0;3.095687866210937;3.1758270263671875;passage;55.0;33.337521846477784
5335;5336;531.6052150726318;443.18821853399277;266.0;3.0673656463623047;3.203453063964844;time;57.0;22.811781466007233
5336;5337;620.1299841744559;439.5106462751116;233.0;3.062809535435268;3.14463370186942;beauty;60.0;26.644377485712315
5337;5338;671.3618189493814;436.84606647491455;300.0;3.07246568467882;3.17128668891059;beauty;60.0;29.15393352508545
5338;5339;783.9892330169678;425.4690026342868;533.0;3.048529624938965;3.11971378326416;The;63.0;40.530997365713176
5339;5340;868.8532104492188;427.6755849123001;134.0;3.075336456298828;3.121200561523437;symbolizes;65.0;38.32441508769989
5340;5341;917.9751645601712;421.2816927249615;433.0;3.1023348294771638;3.1480618990384617;symbolizes;65.0;44.71830727503851
5341;5342;997.2095947265625;412.3457465171814;300.0;3.0940060085720487;3.135457356770833;love;66.0;53.6542534828186
5342;5343;1084.718958536784;407.6829500198364;300.0;3.005096435546875;3.085325453016493;appreciation,;68.0;58.317049980163574
5343;5344;1175.4159088134766;399.07404470443726;300.0;3.000642564561632;3.1196119520399304;appreciation,;68.0;66.92595529556274
5344;5345;276.8754844665526;516.8121314048767;334.0;3.013774108886719;3.0791885375976564;clock;71.0;30.18786859512329
5345;5346;367.4045805931091;511.5754348039627;267.0;2.997224807739258;3.050254821777344;represents;72.0;36.42456519603729
5346;5347;414.1503918965657;510.7651405334473;300.0;2.9931471082899304;3.075254652235243;the;73.0;36.23485946655268
5347;5348;488.86746760777066;507.207469531468;233.0;3.024320329938616;3.131777082170759;importance;74.0;39.79253046853199
5348;5349;558.1147405450993;507.87249261682683;367.0;3.0462480024857954;3.153330022638494;importance;74.0;39.184613837491845
5349;5350;644.1182167053223;498.3122200012207;334.0;3.0180343627929687;3.1054229736328125;and;77.0;48.68777999877932
5350;5351;792.5049316406249;491.1935325622559;167.0;3.023919677734375;3.0580291748046875;our;81.0;59.80646743774412
5351;5352;749.9960556030273;501.89215564727783;300.0;3.0991719563802085;3.1200324164496527;life.;62.0;20.892155647277832
5352;5353;821.5928293863933;488.40813159942627;300.0;3.100389268663194;3.0515814887152777;rose;64.0;7.4081315994262695
5353;5354;986.2245508829753;484.79502010345465;600.0;3.050740559895833;3.052919175889757;love;66.0;3.7950201034546467
5354;5355;1057.5068435668945;481.6510920524598;200.0;3.0581130981445312;3.084355672200521;appreciation,;68.0;0.0
5355;5356;1146.17353404652;479.0307455062866;366.0;3.132440740411932;3.1670948375355112;appreciation,;68.0;0.0
5356;5357;322.3092567443847;581.2636699676514;167.0;3.191802978515625;3.2709228515625;represents;72.0;15.263669967651367
5357;5358;267.5789909362792;586.820885181427;200.0;3.138903299967448;3.22894032796224;clock;71.0;24.820885181427002
5358;5359;373.0621925354003;582.7367099761963;667.0;3.1178466796875;3.236982727050781;represents;72.0;16.736709976196266
5359;5360;469.27867126464844;569.4011793136597;300.0;3.1400994194878478;3.267503526475694;importance;74.0;3.401179313659668
5360;5361;723.686637878418;559.6027765274048;100.0;3.162450154622396;3.1617431640625;value;79.0;0.0
5361;5362;677.3548135757446;561.7457939386368;266.0;3.1489830017089844;3.16412353515625;its;78.0;1.645186424255371
5362;5363;761.0561965942383;552.4732503890991;166.0;3.183782958984375;3.181915283203125;value;79.0;3.0561965942382585
5363;5364;831.2194649832591;554.9910813740322;233.0;3.2117810930524557;3.1561976841517856;lives.;82.0;0.0
5364;5365;912.57421875;556.6915740966797;300.0;3.1524895562065973;3.0637919108072915;The;83.0;0.0
5365;5366;1054.7435302734375;556.3288813999721;233.0;3.097640991210937;3.0188424246651784;of;85.0;0.0
5366;5367;1101.3460693359375;548.9170918464661;134.0;3.0672760009765625;3.017524719238281;these;86.0;0.0
5367;5368;1027.7304153442383;551.7090203762054;267.0;3.053041458129883;2.9462547302246094;combination;84.0;0.0
5368;5369;1121.9169845581055;570.218599319458;67.0;3.0681228637695312;3.0567626953125;these;86.0;8.218599319458008
5369;5370;1196.9043731689453;553.1152381896973;300.0;3.0452423095703125;3.029344346788194;elements;87.0;0.0
5370;5371;1243.4257049560547;548.7888221740723;100.0;3.0274454752604165;2.999231974283854;in;88.0;0.0
5371;5372;492.5287685394286;639.9428157806396;134.0;3.001720428466797;3.0787582397460938;a;93.0;0.0
5372;5373;425.06685856410434;648.949836730957;233.0;3.014157976422991;3.101996285574777;serves;91.0;4.949836730957031
5373;5374;508.233494567871;635.7202626228333;333.0;2.9096450805664062;3.0124542236328127;reminder;94.0;0.0
5374;5375;605.64431254069;634.3991861343384;300.0;3.0365176730685763;3.1175537109375;to;95.0;0.0
